# Shipments,sZip,cZip,CarrierName,Weight,Charge,Estimated PARCEL$,Savings
6142,33916,41048,Estes,120,$271.20 ,$150 ,$120 
5446,41048,11779,ABF,145,$505.36 ,$384 ,$120 
1501,41048,45219,DAFG,80,$202.20 ,$82 ,$119 
6772,41048,77536,Estes,40,$224.29 ,$104 ,$119 
5086,41048,34610,ABF,120,$559.58 ,$440 ,$118 
5373,41048,11704,ABF,55,$468.76 ,$351 ,$117 
9414,N8W0A7,T0K1V0,FedEx Freight,121,$565.89 ,$447 ,$117 
5162,41048,85027,ABF,65,$297.85 ,$182 ,$115 
5102,41048,80216,ABF,55,$269.42 ,$154 ,$114 
15952,1913,75261,XPO,125,$262.24 ,$148 ,$113 
5166,41048,97362,ABF,136,$375.33 ,$261 ,$113 
4728,41048,28311,AVRT,90,$248.57 ,$135 ,$112 
13544,92880,41048,FedEx Freight,45,$223.08 ,$110 ,$112 
15516,41048,14263,WARD,90,$157.88 ,$46 ,$111 
12954,41048,92806,FedEx Freight,120,$503.25 ,$393 ,$109 
4963,41048,93117,ABF,80,$414.42 ,$305 ,$108 
9963,60502,45243,FedEx Freight,108,$182.17 ,$74 ,$107 
11067,41048,30092,FedEx Freight,146,$386.89 ,$280 ,$106 
8484,41048,92346,FedEx Freight,87,$371.44 ,$266 ,$105 
5179,41048,80904,ABF,60,$361.13 ,$256 ,$105 
15812,1913,75236,XPO,67,$184.91 ,$79 ,$105 
15976,1913,45005,XPO,142,$212.67 ,$108 ,$103 
5058,41048,81501,ABF,105,$479.15 ,$375 ,$103 
14330,44056,41048,PITD,33,$168.99 ,$68 ,$100 
14346,41048,4444,PITD,80,$198.14 ,$97 ,$100 
6103,41048,85365,Estes,90,$371.07 ,$271 ,$99 
15775,1913,64030,XPO,98,$167.91 ,$70 ,$97 
4872,41048,23606,ABF,70,$436.22 ,$340 ,$96 
4965,41048,94109,ABF,110,$582.35 ,$485 ,$96 
14176,41048,4605,PITD,90,$205.79 ,$109 ,$95 
14676,8540,7420,RL Carriers,50,$153.90 ,$57 ,$95 
6101,41048,98311,Estes,90,$512.17 ,$417 ,$94 
4989,41048,84107,ABF,90,$298.77 ,$205 ,$93 
4906,41048,58201,ABF,115,$465.46 ,$371 ,$93 
11042,37813,41048,FedEx Freight,97,$171.93 ,$80 ,$91 
8076,37813,41048,FedEx Freight,69,$147.16 ,$56 ,$90 
11160,41048,85711,FedEx Freight,120,$443.41 ,$353 ,$90 
11101,1913,60126,FedEx Freight,105,$139.90 ,$49 ,$90 
15833,1913,22408,XPO,116,$234.32 ,$143 ,$90 
