# Shipments,sZip,sState,cZip,cState,Weight,Charge,preferred_loc,preferred_state,differnece_distance,Estimated $,Savings
8565,53142,WI,89030,NV,2030,"$1,111.95 ",90630,CA,1283,$788.95 ,$323 
11073,N8W0A7,ON,P7C1R6,ON,98,$844.83 ,54942,WI,236,$523.83 ,$321 
11224,N8W0A7,ON,T2C5B3,AB,1243,$418.38 ,90630,CA,376,$103.38 ,$315 
12067,N8W0A7,ON,V5J4S4,BC,136,$417.78 ,90630,CA,874,$103.78 ,$314 
16108,53142,WI,97209,OR,365,$751.14 ,90630,CA,887,$437.14 ,$314 
11883,N8W0A7,ON,V5T4S4,BC,85,$415.48 ,90630,CA,875,$103.48 ,$312 
13261,N8W0A7,ON,T2C5B3,AB,1237,$407.65 ,90630,CA,376,$103.65 ,$304 
13323,N8W0A7,ON,T9W1C5,AB,85,$405.44 ,54942,WI,305,$103.44 ,$302 
13265,N8W0A7,ON,V5G1H1,BC,313,$404.50 ,90630,CA,872,$103.50 ,$301 
10160,N8W0A7,ON,T3J4X8,AB,1191,$403.98 ,90630,CA,367,$102.98 ,$301 
8293,N8W0A7,ON,V2C6X2,BC,94,$397.19 ,90630,CA,673,$103.19 ,$294 
14070,N8W0A7,ON,T7E1S8,AB,110,$390.79 ,90630,CA,349,$103.79 ,$287 
12107,N8W0A7,ON,V1V1S1,BC,92,$389.24 ,90630,CA,690,$103.24 ,$286 
9345,N8W0A7,ON,T6S1A5,AB,1187,$389.14 ,54942,WI,304,$103.14 ,$286 
13160,N8W0A7,ON,V2X8G1,BC,111,$389.06 ,90630,CA,864,$103.06 ,$286 
9788,N8W0A7,ON,V2A0K2,BC,107,$386.61 ,90630,CA,729,$103.61 ,$283 
11296,N8W0A7,ON,R3H0L3,MB,237,$383.15 ,54942,WI,297,$103.15 ,$280 
9288,N8W0A7,ON,V8M2A4,BC,67,$383.16 ,90630,CA,933,$103.16 ,$280 
7970,N8W0A7,ON,T1R1B2,AB,161,$382.34 ,54942,WI,311,$103.34 ,$279 
7800,N8W0A7,ON,R3H0L3,MB,152,$382.29 ,54942,WI,297,$103.29 ,$279 
7586,N8W0A7,ON,R3J3Z2,MB,115,$381.32 ,54942,WI,297,$103.32 ,$278 
7986,N8W0A7,ON,R3H0L3,MB,206,$379.97 ,54942,WI,297,$102.97 ,$277 
8710,N8W0A7,ON,R3H0L3,MB,234,$377.01 ,54942,WI,297,$103.01 ,$274 
7884,N8W0A7,ON,R3H0L3,MB,296,$374.84 ,54942,WI,297,$102.84 ,$272 
7855,N8W0A7,ON,R3B0S1,MB,205,$375.12 ,54942,WI,297,$103.12 ,$272 
8771,N8W0A7,ON,R3H0L2,MB,188,$375.26 ,54942,WI,297,$103.26 ,$272 
11011,N8W0A7,ON,R3G0S6,MB,506,$374.27 ,54942,WI,297,$103.27 ,$271 
13683,N8W0A7,ON,S4H0B8,SK,66,$373.00 ,54942,WI,310,$103.00 ,$270 
7574,N8W0A7,ON,T1Y7J7,AB,111,$373.77 ,90630,CA,370,$103.77 ,$270 
7616,N8W0A7,ON,T2C5N6,AB,144,$373.78 ,90630,CA,375,$103.78 ,$270 
7794,N8W0A7,ON,R3H0L3,MB,548,$373.50 ,54942,WI,297,$103.50 ,$270 
7557,N8W0A7,ON,R3H0L3,MB,278,$373.50 ,54942,WI,297,$103.50 ,$270 
12386,N8W0A7,ON,T2G4E6,AB,109,$373.09 ,90630,CA,374,$103.09 ,$270 
8351,N8W0A7,ON,R3H0L3,MB,270,$372.75 ,54942,WI,297,$103.75 ,$269 
9138,N8W0A7,ON,R3H0L3,MB,413,$372.36 ,54942,WI,297,$103.36 ,$269 
11222,N8W0A7,ON,R3T1N6,MB,568,$372.02 ,54942,WI,297,$103.02 ,$269 
7857,N8W0A7,ON,T4A0E3,AB,196,$370.91 ,90630,CA,362,$102.91 ,$268 
10941,N8W0A7,ON,R3H0L2,MB,193,$370.27 ,54942,WI,297,$103.27 ,$267 
10701,N8W0A7,ON,R2K2V1,MB,307,$370.27 ,54942,WI,296,$103.27 ,$267 
8334,N8W0A7,ON,T4P3R3,AB,114,$370.35 ,54942,WI,308,$103.35 ,$267 
11520,N8W0A7,ON,R3H0L3,MB,549,$369.46 ,54942,WI,297,$103.46 ,$266 
10783,N8W0A7,ON,R3H0L3,MB,442,$368.99 ,54942,WI,297,$102.99 ,$266 
9741,N8W0A7,ON,R3R1V5,MB,137,$368.05 ,54942,WI,298,$103.05 ,$265 
8516,N8W0A7,ON,T2H3A7,AB,283,$368.63 ,90630,CA,378,$103.63 ,$265 
11076,N8W0A7,ON,R3P1A2,MB,91,$367.46 ,54942,WI,297,$103.46 ,$264 
11407,N8W0A7,ON,R2X2V4,MB,158,$366.81 ,54942,WI,297,$102.81 ,$264 
11864,N8W0A7,ON,R2R1V5,MB,122,$367.08 ,54942,WI,297,$103.08 ,$264 
11882,N8W0A7,ON,R3H0L3,MB,189,$367.07 ,54942,WI,297,$103.07 ,$264 
12121,N8W0A7,ON,R3H0L3,MB,265,$367.52 ,54942,WI,297,$103.52 ,$264 
8807,N8W0A7,ON,R3H0L3,MB,218,$367.45 ,54942,WI,297,$103.45 ,$264 
12212,N8W0A7,ON,R3H0L3,MB,218,$367.42 ,54942,WI,297,$103.42 ,$264 
8959,N8W0A7,ON,R3H0L3,MB,575,$367.75 ,54942,WI,297,$103.75 ,$264 
11750,N8W0A7,ON,R3H0L3,MB,300,$367.42 ,54942,WI,297,$103.42 ,$264 
8562,N8W0A7,ON,R1A1N3,MB,90,$367.36 ,54942,WI,294,$103.36 ,$264 
8239,N8W0A7,ON,T4A0W7,AB,93,$366.77 ,90630,CA,360,$103.77 ,$263 
7692,N8W0A7,ON,T1Y7J7,AB,178,$366.46 ,90630,CA,370,$103.46 ,$263 
7957,N8W0A7,ON,T2G4B9,AB,222,$366.76 ,90630,CA,377,$103.76 ,$263 
10517,N8W0A7,ON,T2C5B3,AB,323,$365.96 ,90630,CA,376,$102.96 ,$263 
10989,N8W0A7,ON,R3H0L3,MB,308,$366.10 ,54942,WI,297,$103.10 ,$263 
7797,N8W0A7,ON,T2E6Z8,AB,130,$366.48 ,90630,CA,368,$103.48 ,$263 
11457,N8W0A7,ON,R3H0L3,MB,544,$365.68 ,54942,WI,297,$103.68 ,$262 
10319,N8W0A7,ON,R3T0M8,MB,660,$365.09 ,54942,WI,297,$103.09 ,$262 
8834,N8W0A7,ON,T3N1B5,AB,425,$364.95 ,90630,CA,363,$102.95 ,$262 
12811,N8W0A7,ON,R3T1T2,MB,137,$365.27 ,54942,WI,297,$103.27 ,$262 
10913,N8W0A7,ON,T2C5B3,AB,310,$364.39 ,90630,CA,376,$103.39 ,$261 
12812,N8W0A7,ON,R3H0L3,MB,264,$364.11 ,54942,WI,297,$103.11 ,$261 
10130,N8W0A7,ON,R3C0L5,MB,120,$364.62 ,54942,WI,297,$103.62 ,$261 
7597,N8W0A7,ON,T2Z3X1,AB,254,$364.52 ,90630,CA,382,$103.52 ,$261 
10185,N8W0A7,ON,R3J3T2,MB,132,$364.54 ,54942,WI,297,$103.54 ,$261 
11971,N8W0A7,ON,R3J3Z2,MB,402,$363.99 ,54942,WI,297,$102.99 ,$261 
11745,N8W0A7,ON,R3H0L3,MB,269,$363.99 ,54942,WI,297,$102.99 ,$261 
9768,N8W0A7,ON,T2G5P6,AB,95,$363.43 ,90630,CA,376,$103.43 ,$260 
8767,N8W0A7,ON,T2E2W5,AB,392,$363.63 ,90630,CA,373,$103.63 ,$260 
7596,N8W0A7,ON,T2H2W9,AB,221,$363.64 ,90630,CA,378,$103.64 ,$260 
12380,N8W0A7,ON,R3H0L3,MB,271,$363.49 ,54942,WI,297,$103.49 ,$260 
10636,N8W0A7,ON,T2G2Y8,AB,94,$362.00 ,90630,CA,376,$103.00 ,$259 
7547,N8W0A7,ON,T6B2X4,AB,208,$361.89 ,54942,WI,304,$102.89 ,$259 
10075,N8W0A7,ON,T2G4C4,AB,257,$362.62 ,90630,CA,377,$103.62 ,$259 
7814,N8W0A7,ON,T6B2R8,AB,258,$361.90 ,54942,WI,305,$102.90 ,$259 
9841,N8W0A7,ON,T2C4T5,AB,487,$362.28 ,90630,CA,373,$103.28 ,$259 
10901,N8W0A7,ON,T1Y7J8,AB,114,$361.35 ,90630,CA,370,$103.35 ,$258 
13073,N8W0A7,ON,R3E3L2,MB,212,$361.35 ,54942,WI,297,$103.35 ,$258 
9462,N8W0A7,ON,T1Y7H9,AB,260,$359.86 ,90630,CA,371,$102.86 ,$257 
10431,N8W0A7,ON,T4A0X2,AB,194,$360.60 ,90630,CA,359,$103.60 ,$257 
13239,N8W0A7,ON,R3H0L3,MB,441,$360.38 ,54942,WI,297,$103.38 ,$257 
9546,N8W0A7,ON,T2A7W6,AB,211,$359.85 ,90630,CA,371,$102.85 ,$257 
16050,54942,WI,43125,OH,2740,$360.41 ,N8W0A7,ON,254,$103.41 ,$257 
13342,N8W0A7,ON,R3H0L3,MB,191,$358.93 ,54942,WI,297,$102.93 ,$256 
12184,N8W0A7,ON,T2G5P6,AB,183,$359.52 ,90630,CA,376,$103.52 ,$256 
9444,N8W0A7,ON,T2Z5G6,AB,144,$358.86 ,90630,CA,377,$102.86 ,$256 
13272,N8W0A7,ON,R3H0L3,MB,354,$358.89 ,54942,WI,297,$102.89 ,$256 
12546,N8W0A7,ON,R3H0L3,MB,404,$358.98 ,54942,WI,297,$102.98 ,$256 
9568,N8W0A7,ON,T2C5B3,AB,316,$358.86 ,90630,CA,376,$102.86 ,$256 
12719,N8W0A7,ON,R2C3L9,MB,198,$358.91 ,54942,WI,296,$102.91 ,$256 
10323,N8W0A7,ON,T2C4T5,AB,356,$359.50 ,90630,CA,373,$103.50 ,$256 
9874,N8W0A7,ON,T2C5B3,AB,450,$359.34 ,90630,CA,376,$103.34 ,$256 
11733,N8W0A7,ON,T3N1E9,AB,140,$359.33 ,90630,CA,363,$103.33 ,$256 
11942,N8W0A7,ON,T2E6J7,AB,145,$359.33 ,90630,CA,373,$103.33 ,$256 
11473,N8W0A7,ON,T2C5B3,AB,353,$359.14 ,90630,CA,376,$103.14 ,$256 
11176,N8W0A7,ON,T1X0K3,AB,290,$359.72 ,90630,CA,366,$103.72 ,$256 
11367,N8W0A7,ON,T2G4B9,AB,306,$359.32 ,90630,CA,377,$103.32 ,$256 
12085,N8W0A7,ON,T2G4B9,AB,357,$359.52 ,90630,CA,377,$103.52 ,$256 
9831,N8W0A7,ON,T2G2Y8,AB,209,$358.48 ,90630,CA,376,$103.48 ,$255 
14095,N8W0A7,ON,R3H0L3,MB,341,$358.63 ,54942,WI,297,$103.63 ,$255 
13374,N8W0A7,ON,R3H0L3,MB,126,$358.74 ,54942,WI,297,$103.74 ,$255 
13627,N8W0A7,ON,R3H0L3,MB,392,$358.63 ,54942,WI,297,$103.63 ,$255 
8814,N8W0A7,ON,T2Z5G6,AB,126,$358.51 ,90630,CA,377,$103.51 ,$255 
13256,N8W0A7,ON,R3H0L3,MB,376,$358.12 ,54942,WI,297,$103.12 ,$255 
9465,N8W0A7,ON,T3J4A1,AB,143,$357.97 ,90630,CA,366,$102.97 ,$255 
13039,N8W0A7,ON,R3T1N6,MB,754,$358.13 ,54942,WI,297,$103.13 ,$255 
13836,N8W0A7,ON,R3H0L3,MB,232,$358.63 ,54942,WI,297,$103.63 ,$255 
13083,N8W0A7,ON,R3H0L3,MB,413,$357.75 ,54942,WI,297,$103.75 ,$254 
13383,N8W0A7,ON,R3H0L3,MB,134,$357.75 ,54942,WI,297,$103.75 ,$254 
8600,N8W0A7,ON,T5S2P2,AB,259,$356.86 ,54942,WI,304,$102.86 ,$254 
10413,N8W0A7,ON,T2G3R4,AB,476,$356.92 ,90630,CA,374,$102.92 ,$254 
10047,N8W0A7,ON,T2C5B3,AB,315,$356.39 ,90630,CA,376,$103.39 ,$253 
10048,N8W0A7,ON,T2H2H9,AB,280,$356.28 ,90630,CA,378,$103.28 ,$253 
9918,N8W0A7,ON,T2G4B9,AB,240,$356.42 ,90630,CA,377,$103.42 ,$253 
12115,N8W0A7,ON,T2E8M5,AB,100,$355.88 ,90630,CA,370,$102.88 ,$253 
8762,N8W0A7,ON,T6B3R7,AB,316,$355.20 ,54942,WI,304,$103.20 ,$252 
7647,N8W0A7,ON,T6B2L8,AB,153,$355.08 ,54942,WI,304,$103.08 ,$252 
15809,53142,WI,11743,NY,385,$355.26 ,N8W0A7,ON,249,$103.26 ,$252 
7554,N8W0A7,ON,T7X6H8,AB,106,$354.83 ,54942,WI,305,$102.83 ,$252 
14377,53142,WI,21287,MD,1490,$354.62 ,N8W0A7,ON,237,$103.62 ,$251 
9115,N8W0A7,ON,T5S2E4,AB,119,$354.15 ,54942,WI,304,$103.15 ,$251 
8800,N8W0A7,ON,T5V0A6,AB,858,$354.12 ,54942,WI,304,$103.12 ,$251 
9238,N8W0A7,ON,T6B2L8,AB,444,$354.12 ,54942,WI,304,$103.12 ,$251 
9612,N8W0A7,ON,T8X0B4,AB,90,$354.27 ,90630,CA,362,$103.27 ,$251 
13898,N8W0A7,ON,R3H0L3,MB,170,$353.63 ,54942,WI,297,$103.63 ,$250 
11387,N8W0A7,ON,T5G2T4,AB,577,$353.28 ,54942,WI,304,$103.28 ,$250 
13844,N8W0A7,ON,R3H0L2,MB,202,$353.21 ,54942,WI,297,$103.21 ,$250 
8801,N8W0A7,ON,T5V1M7,AB,340,$353.19 ,54942,WI,304,$103.19 ,$250 
15752,54942,WI,8857,NJ,1618,$353.10 ,N8W0A7,ON,305,$103.10 ,$250 
10632,N8W0A7,ON,T7X6B8,AB,310,$353.19 ,54942,WI,304,$103.19 ,$250 
13325,N8W0A7,ON,T2H2H9,AB,130,$353.29 ,90630,CA,378,$103.29 ,$250 
8438,N8W0A7,ON,T5M1V9,AB,285,$352.84 ,54942,WI,304,$102.84 ,$250 
7811,N8W0A7,ON,T7X5A4,AB,218,$352.06 ,54942,WI,304,$103.06 ,$249 
8448,N8W0A7,ON,T6W0L7,AB,121,$352.17 ,54942,WI,305,$103.17 ,$249 
10295,N8W0A7,ON,T6E5L9,AB,179,$351.08 ,54942,WI,304,$103.08 ,$248 
13987,N8W0A7,ON,T2Z5G6,AB,145,$351.09 ,90630,CA,377,$103.09 ,$248 
13942,N8W0A7,ON,R3H0L3,MB,155,$351.71 ,54942,WI,297,$103.71 ,$248 
13873,N8W0A7,ON,R3H0L3,MB,275,$351.73 ,54942,WI,297,$103.73 ,$248 
12999,N8W0A7,ON,T2G4B9,AB,360,$351.56 ,90630,CA,377,$103.56 ,$248 
13050,N8W0A7,ON,T2Z4M8,AB,149,$350.94 ,90630,CA,377,$102.94 ,$248 
9623,N8W0A7,ON,T8X0B4,AB,201,$351.60 ,90630,CA,362,$103.60 ,$248 
10313,N8W0A7,ON,T6N1K6,AB,141,$351.08 ,54942,WI,305,$103.08 ,$248 
13737,N8W0A7,ON,T2H2H9,AB,137,$350.61 ,90630,CA,378,$103.61 ,$247 
10458,N8W0A7,ON,T6X0V1,AB,152,$350.57 ,54942,WI,305,$103.57 ,$247 
10272,N8W0A7,ON,T5L4P6,AB,207,$350.00 ,54942,WI,304,$103.00 ,$247 
10498,N8W0A7,ON,T5V1M7,AB,479,$349.24 ,54942,WI,304,$103.24 ,$246 
12162,N8W0A7,ON,T5S0A4,AB,570,$349.79 ,54942,WI,304,$103.79 ,$246 
10191,N8W0A7,ON,T6X0V1,AB,170,$348.90 ,54942,WI,305,$102.90 ,$246 
13025,N8W0A7,ON,T2G4B9,AB,217,$349.77 ,90630,CA,377,$103.77 ,$246 
13607,N8W0A7,ON,R2R2V7,MB,128,$349.00 ,54942,WI,297,$103.00 ,$246 
9967,N8W0A7,ON,T5G2T4,AB,591,$348.06 ,54942,WI,304,$103.06 ,$245 
11998,N8W0A7,ON,T5S0A4,AB,426,$348.08 ,54942,WI,304,$103.08 ,$245 
12066,N8W0A7,ON,T5S0A4,AB,461,$347.89 ,54942,WI,304,$102.89 ,$245 
11530,N8W0A7,ON,T6B3R7,AB,139,$348.30 ,54942,WI,304,$103.30 ,$245 
9588,N8W0A7,ON,T6B2R8,AB,177,$348.72 ,54942,WI,305,$103.72 ,$245 
12355,N8W0A7,ON,T5S0A4,AB,420,$347.33 ,54942,WI,304,$103.33 ,$244 
13953,N8W0A7,ON,T4P3R2,AB,195,$346.89 ,54942,WI,308,$102.89 ,$244 
11099,N8W0A7,ON,T7Z1N3,AB,168,$347.72 ,54942,WI,305,$103.72 ,$244 
10887,N8W0A7,ON,T6X0V1,AB,490,$346.54 ,54942,WI,305,$103.54 ,$243 
12165,N8W0A7,ON,T5S0A4,AB,357,$345.91 ,54942,WI,304,$102.91 ,$243 
10248,N8W0A7,ON,T6X0V1,AB,205,$345.58 ,54942,WI,305,$103.58 ,$242 
11181,N8W0A7,ON,T6E6B4,AB,333,$345.59 ,54942,WI,305,$103.59 ,$242 
14035,N8W0A7,ON,T1Y5E4,AB,140,$343.92 ,90630,CA,370,$102.92 ,$241 
14034,N8W0A7,ON,T2G4B9,AB,450,$343.86 ,90630,CA,377,$102.86 ,$241 
12040,N8W0A7,ON,T5V0A6,AB,850,$344.55 ,54942,WI,304,$103.55 ,$241 
12814,N8W0A7,ON,T5S0A4,AB,372,$344.06 ,54942,WI,304,$103.06 ,$241 
12698,N8W0A7,ON,T8N3T5,AB,282,$344.08 ,54942,WI,304,$103.08 ,$241 
12983,N8W0A7,ON,T5S0A4,AB,394,$343.72 ,54942,WI,304,$103.72 ,$240 
12641,N8W0A7,ON,T5S0A4,AB,361,$343.37 ,54942,WI,304,$103.37 ,$240 
13657,N8W0A7,ON,T2G2Y8,AB,154,$341.94 ,90630,CA,376,$102.94 ,$239 
13673,N8W0A7,ON,T6X0A7,AB,77,$341.67 ,54942,WI,304,$103.67 ,$238 
13577,N8W0A7,ON,T2G4B9,AB,404,$341.20 ,90630,CA,377,$103.20 ,$238 
13963,N8W0A7,ON,T5S0A4,AB,720,$341.16 ,54942,WI,304,$103.16 ,$238 
14000,N8W0A7,ON,T5M2N9,AB,424,$341.15 ,54942,WI,304,$103.15 ,$238 
13237,N8W0A7,ON,T5S0A4,AB,535,$340.59 ,54942,WI,304,$103.59 ,$237 
13390,N8W0A7,ON,T5S0A4,AB,282,$340.59 ,54942,WI,304,$103.59 ,$237 
13268,N8W0A7,ON,T5S0A4,AB,557,$339.76 ,54942,WI,304,$103.76 ,$236 
12881,N8W0A7,ON,T6X0V1,AB,237,$339.75 ,54942,WI,305,$103.75 ,$236 
11102,N8W0A7,ON,T4P3P7,AB,90,$338.03 ,54942,WI,308,$103.03 ,$235 
14332,53142,WI,21287,MD,1394,$333.40 ,N8W0A7,ON,237,$103.40 ,$230 
8593,N8W0A7,ON,T6H5G8,AB,187,$332.21 ,54942,WI,304,$103.21 ,$229 
13613,N8W0A7,ON,T5S0A4,AB,802,$331.05 ,54942,WI,304,$103.05 ,$228 
9018,N8W0A7,ON,T2H2H9,AB,222,$331.21 ,90630,CA,378,$103.21 ,$228 
13350,N8W0A7,ON,T3E6L1,AB,123,$330.68 ,90630,CA,380,$103.68 ,$227 
9300,N8W0A7,ON,R7A7H8,MB,48,$325.34 ,54942,WI,304,$103.34 ,$222 
10213,N8W0A7,ON,T2R0E7,AB,108,$311.30 ,90630,CA,377,$103.30 ,$208 
14387,53142,WI,21287,MD,1238,$302.29 ,N8W0A7,ON,237,$103.29 ,$199 
12423,N8W0A7,ON,T0M0S0,AB,123,$295.10 ,90630,CA,353,$103.10 ,$192 
10257,53142,WI,H4P1J3,PQ,367,$427.31 ,N8W0A7,ON,218,$239.31 ,$188 
10957,N8W0A7,ON,V2R4B7,BC,166,$287.23 ,90630,CA,847,$103.23 ,$184 
9897,N8W0A7,ON,V2R4L6,BC,75,$283.36 ,90630,CA,848,$103.36 ,$180 
12705,N8W0A7,ON,V2R4B7,BC,164,$282.56 ,90630,CA,847,$103.56 ,$179 
16077,53142,WI,98072,WA,1021,$442.67 ,90630,CA,710,$263.67 ,$179 
7959,N8W0A7,ON,V6Z2H3,BC,111,$277.69 ,90630,CA,875,$103.69 ,$174 
7765,N8W0A7,ON,V2Y2K2,BC,96,$276.71 ,90630,CA,866,$103.71 ,$173 
9211,N8W0A7,ON,V5A1X8,BC,125,$274.05 ,90630,CA,871,$103.05 ,$171 
7802,N8W0A7,ON,V5A1X8,BC,69,$272.98 ,90630,CA,871,$102.98 ,$170 
8920,N8W0A7,ON,V6G1C3,BC,147,$273.46 ,90630,CA,874,$103.46 ,$170 
11946,N8W0A7,ON,T6H5R7,AB,60,$273.33 ,54942,WI,305,$103.33 ,$170 
7894,N8W0A7,ON,V6V2K4,BC,112,$273.18 ,90630,CA,879,$103.18 ,$170 
10624,N8W0A7,ON,S0G5K0,SK,161,$273.50 ,54942,WI,307,$103.50 ,$170 
7665,N8W0A7,ON,V6A1E1,BC,66,$272.08 ,90630,CA,873,$103.08 ,$169 
8839,N8W0A7,ON,V5R5T5,BC,157,$272.48 ,90630,CA,875,$103.48 ,$169 
7987,N8W0A7,ON,V4G0A5,BC,107,$272.01 ,90630,CA,880,$103.01 ,$169 
9467,N8W0A7,ON,V6N4A6,BC,67,$271.98 ,90630,CA,878,$102.98 ,$169 
10524,N8W0A7,ON,V5K4R1,BC,67,$272.09 ,90630,CA,872,$103.09 ,$169 
9510,N8W0A7,ON,V3C6N9,BC,165,$271.97 ,90630,CA,865,$102.97 ,$169 
9255,N8W0A7,ON,V3K6Y7,BC,87,$271.85 ,90630,CA,869,$102.85 ,$169 
10817,N8W0A7,ON,V1M3C9,BC,59,$271.63 ,90630,CA,866,$103.63 ,$168 
16002,53142,WI,98072,WA,956,$431.81 ,90630,CA,710,$263.81 ,$168 
10730,N8W0A7,ON,V2X8G1,BC,71,$271.43 ,90630,CA,864,$103.43 ,$168 
9851,N8W0A7,ON,V3B7N2,BC,102,$270.70 ,90630,CA,863,$103.70 ,$167 
9485,N8W0A7,ON,V3W3B1,BC,105,$270.70 ,90630,CA,875,$103.70 ,$167 
13897,N8W0A7,ON,V2R4B7,BC,196,$269.44 ,90630,CA,847,$103.44 ,$166 
10369,N8W0A7,ON,V3R9K2,BC,84,$269.58 ,90630,CA,871,$103.58 ,$166 
8994,N8W0A7,ON,V6V1V2,BC,93,$267.82 ,90630,CA,879,$102.82 ,$165 
10029,N8W0A7,ON,V3C6N1,BC,115,$268.59 ,90630,CA,864,$103.59 ,$165 
9734,N8W0A7,ON,V5G4S1,BC,67,$268.11 ,90630,CA,873,$103.11 ,$165 
11316,N8W0A7,ON,V3C6N9,BC,140,$268.13 ,90630,CA,865,$103.13 ,$165 
9643,N8W0A7,ON,V5R5T5,BC,155,$268.10 ,90630,CA,875,$103.10 ,$165 
12532,N8W0A7,ON,V2X8G1,BC,83,$267.66 ,90630,CA,864,$103.66 ,$164 
12760,N8W0A7,ON,V2X8G1,BC,107,$267.66 ,90630,CA,864,$103.66 ,$164 
11986,N8W0A7,ON,V5X3Y7,BC,54,$267.60 ,90630,CA,878,$103.60 ,$164 
11794,N8W0A7,ON,V6W0A3,BC,73,$267.65 ,90630,CA,882,$103.65 ,$164 
12604,N8W0A7,ON,V5C6G9,BC,81,$267.68 ,90630,CA,872,$103.68 ,$164 
11643,N8W0A7,ON,V2X8G1,BC,84,$267.12 ,90630,CA,864,$103.12 ,$164 
12644,N8W0A7,ON,V4G1A4,BC,174,$267.63 ,90630,CA,880,$103.63 ,$164 
12346,N8W0A7,ON,V4G1B6,BC,120,$266.84 ,90630,CA,881,$102.84 ,$164 
11636,N8W0A7,ON,V3K6Y7,BC,90,$266.79 ,90630,CA,869,$103.79 ,$163 
10253,N8W0A7,ON,V6W1J3,BC,152,$265.87 ,90630,CA,878,$102.87 ,$163 
11279,N8W0A7,ON,V3K6Y7,BC,86,$266.77 ,90630,CA,869,$103.77 ,$163 
9907,N8W0A7,ON,V6A1E1,BC,72,$265.86 ,90630,CA,873,$102.86 ,$163 
12392,N8W0A7,ON,V5Z4E6,BC,139,$266.02 ,90630,CA,875,$103.02 ,$163 
12599,N8W0A7,ON,V6V3C7,BC,164,$264.87 ,90630,CA,877,$102.87 ,$162 
8915,N8W0A7,ON,P7E2C3,ON,92,$684.79 ,54942,WI,235,$522.79 ,$162 
13537,N8W0A7,ON,V3B7Y5,BC,130,$262.07 ,90630,CA,863,$103.07 ,$159 
13341,N8W0A7,ON,V6V3B3,BC,80,$262.06 ,90630,CA,877,$103.06 ,$159 
13447,N8W0A7,ON,V7A4E8,BC,88,$262.45 ,90630,CA,884,$103.45 ,$159 
13881,N8W0A7,ON,V5A2H5,BC,102,$262.46 ,90630,CA,870,$103.46 ,$159 
13187,N8W0A7,ON,V6A1E1,BC,105,$261.87 ,90630,CA,873,$102.87 ,$159 
13557,N8W0A7,ON,V4K3N3,BC,100,$261.40 ,90630,CA,882,$103.40 ,$158 
12904,N8W0A7,ON,V5G1H1,BC,140,$261.41 ,90630,CA,872,$103.41 ,$158 
13528,N8W0A7,ON,V5Y1N5,BC,89,$261.01 ,90630,CA,875,$103.01 ,$158 
13925,N8W0A7,ON,V3N4V1,BC,127,$261.65 ,90630,CA,869,$103.65 ,$158 
13404,N8W0A7,ON,V3M5K2,BC,70,$260.80 ,90630,CA,874,$102.80 ,$158 
15865,53142,WI,28273,NC,760,$260.29 ,N8W0A7,ON,132,$103.29 ,$157 
11510,N8W0A7,ON,V2S7T9,BC,72,$260.12 ,90630,CA,861,$103.12 ,$157 
13362,N8W0A7,ON,V3N0C4,BC,96,$260.54 ,90630,CA,870,$103.54 ,$157 
11098,N8W0A7,ON,V2S7T9,BC,68,$260.13 ,90630,CA,861,$103.13 ,$157 
11755,N8W0A7,ON,V2T3P5,BC,42,$258.26 ,90630,CA,863,$103.26 ,$155 
13750,N8W0A7,ON,V6V2G9,BC,167,$257.36 ,90630,CA,879,$103.36 ,$154 
13805,N8W0A7,ON,V3R9K2,BC,115,$257.68 ,90630,CA,871,$103.68 ,$154 
13926,N8W0A7,ON,V5G1K5,BC,174,$257.54 ,90630,CA,872,$103.54 ,$154 
13826,N8W0A7,ON,V6W1J3,BC,150,$255.25 ,90630,CA,878,$103.25 ,$152 
9351,N8W0A7,ON,P7C4V6,ON,166,$673.92 ,54942,WI,235,$522.92 ,$151 
13880,N8W0A7,ON,V5A1X8,BC,114,$254.70 ,90630,CA,871,$103.70 ,$151 
13348,N8W0A7,ON,R3H0L3,MB,145,$254.10 ,54942,WI,297,$103.10 ,$151 
15921,54942,WI,21205,MD,529,$246.70 ,N8W0A7,ON,312,$103.70 ,$143 
10744,N8W0A7,ON,S6V5T4,SK,81,$244.82 ,54942,WI,298,$102.82 ,$142 
7967,N8W0A7,ON,S4N5J3,SK,48,$243.76 ,54942,WI,308,$103.76 ,$140 
8702,N8W0A7,ON,S7K6M6,SK,94,$242.16 ,54942,WI,304,$103.16 ,$139 
10597,N8W0A7,ON,S7K2K9,SK,53,$242.63 ,54942,WI,304,$103.63 ,$139 
10854,N8W0A7,ON,S6V6K1,SK,61,$241.77 ,54942,WI,298,$103.77 ,$138 
10195,N8W0A7,ON,S4W0R7,SK,118,$239.85 ,54942,WI,308,$102.85 ,$137 
9791,N8W0A7,ON,S7K3V2,SK,124,$240.30 ,54942,WI,304,$103.30 ,$137 
11780,N8W0A7,ON,P7B6V4,ON,114,$663.85 ,54942,WI,235,$527.85 ,$136 
11496,N8W0A7,ON,S4P0J9,SK,82,$238.55 ,54942,WI,308,$103.55 ,$135 
10694,N8W0A7,ON,S4N5X8,SK,81,$238.76 ,54942,WI,308,$103.76 ,$135 
12702,N8W0A7,ON,P7B6V4,ON,260,$663.05 ,54942,WI,235,$528.05 ,$135 
