# Shipments,sZip,sState,cZip,cState,Weight,Charge,preferred_loc,preferred_state,differnece_distance,Estimated $,Savings
12596,N8W0A7,ON,V3R9K2,BC,126,$610.64 ,90630,CA,871,$103.64 ,$507 
12937,N8W0A7,ON,V0E1B6,BC,167,$609.81 ,90630,CA,655,$102.81 ,$507 
9209,N8W0A7,ON,V0J2N0,BC,172,$610.14 ,90630,CA,645,$103.14 ,$507 
12516,N8W0A7,ON,V6G3E2,BC,196,$609.74 ,90630,CA,873,$103.74 ,$506 
12427,N8W0A7,ON,V6B3K9,BC,167,$609.73 ,90630,CA,874,$103.73 ,$506 
10330,N8W0A7,ON,T0K1V0,AB,104,$603.11 ,90630,CA,383,$103.11 ,$500 
13251,N8W0A7,ON,V5K5J3,BC,168,$603.17 ,90630,CA,871,$103.17 ,$500 
8777,N8W0A7,ON,T0H3A0,AB,152,$599.83 ,90630,CA,326,$102.83 ,$497 
13208,N8W0A7,ON,V6G3E2,BC,321,$599.99 ,90630,CA,873,$102.99 ,$497 
12513,N8W0A7,ON,V2T3P5,BC,161,$596.36 ,90630,CA,863,$103.36 ,$493 
9048,N8W0A7,ON,V6K3G8,BC,215,$593.48 ,90630,CA,876,$103.48 ,$490 
10005,N8W0A7,ON,R0H0H0,MB,214,$592.45 ,54942,WI,299,$103.45 ,$489 
12220,N8W0A7,ON,R3H0L2,MB,181,$587.79 ,54942,WI,297,$103.79 ,$484 
11711,N8W0A7,ON,R3H0L2,MB,207,$584.08 ,54942,WI,297,$103.08 ,$481 
13868,N8W0A7,ON,V0E1B6,BC,167,$581.52 ,90630,CA,655,$103.52 ,$478 
10790,N8W0A7,ON,T0B1V0,AB,155,$581.25 ,54942,WI,305,$103.25 ,$478 
8412,N8W0A7,ON,V9A7N2,BC,97,$580.59 ,90630,CA,940,$103.59 ,$477 
10376,N8W0A7,ON,V6Z0E5,BC,122,$577.54 ,90630,CA,877,$103.54 ,$474 
14094,N8W0A7,ON,T0K1V0,AB,100,$576.97 ,90630,CA,383,$102.97 ,$474 
10457,N8W0A7,ON,V5G2N8,BC,68,$576.38 ,90630,CA,873,$103.38 ,$473 
12829,N8W0A7,ON,R3T6G2,MB,142,$575.18 ,54942,WI,297,$103.18 ,$472 
12396,N8W0A7,ON,T8X0B4,AB,294,$566.86 ,90630,CA,362,$102.86 ,$464 
9414,N8W0A7,ON,T0K1V0,AB,121,$565.89 ,90630,CA,383,$102.89 ,$463 
11706,N8W0A7,ON,T3J3R2,AB,591,$564.44 ,90630,CA,368,$103.44 ,$461 
11997,N8W0A7,ON,T6H5G8,AB,277,$563.49 ,54942,WI,304,$103.49 ,$460 
13696,N8W0A7,ON,V3A7E9,BC,111,$559.06 ,90630,CA,871,$103.06 ,$456 
11952,N8W0A7,ON,T9V2K2,AB,258,$556.14 ,54942,WI,303,$103.14 ,$453 
8382,N8W0A7,ON,R3H1C8,MB,198,$545.72 ,54942,WI,297,$103.72 ,$442 
10712,N8W0A7,ON,V3M5K3,BC,87,$545.59 ,90630,CA,874,$103.59 ,$442 
9486,N8W0A7,ON,V3M6Z9,BC,1228,$544.86 ,90630,CA,877,$102.86 ,$442 
8589,N8W0A7,ON,T5L2T3,AB,110,$543.10 ,54942,WI,304,$103.10 ,$440 
8264,N8W0A7,ON,T2E6Z8,AB,213,$539.30 ,90630,CA,368,$103.30 ,$436 
15979,54942,WI,33166,FL,1156,$536.30 ,N8W0A7,ON,209,$103.30 ,$433 
11350,N8W0A7,ON,R3T5S3,MB,603,$535.55 ,54942,WI,298,$103.55 ,$432 
11483,N8W0A7,ON,R3B1K9,MB,111,$535.53 ,54942,WI,297,$103.53 ,$432 
8840,N8W0A7,ON,T2M1G8,AB,192,$525.74 ,90630,CA,376,$103.74 ,$422 
10053,N8W0A7,ON,T3K0R1,AB,1568,$524.53 ,90630,CA,367,$103.53 ,$421 
10669,N8W0A7,ON,T2E3A7,AB,136,$524.52 ,90630,CA,373,$103.52 ,$421 
15935,54942,WI,43125,OH,4000,$522.99 ,N8W0A7,ON,254,$102.99 ,$420 
14453,54942,WI,8857,NJ,3241,$519.71 ,N8W0A7,ON,305,$103.71 ,$416 
13116,N8W0A7,ON,T2N0L6,AB,519,$517.07 ,90630,CA,378,$103.07 ,$414 
7587,N8W0A7,ON,V9A2N4,BC,101,$515.66 ,90630,CA,943,$103.66 ,$412 
13966,N8W0A7,ON,R3H0J9,MB,145,$513.85 ,54942,WI,297,$102.85 ,$411 
10273,N8W0A7,ON,R3C1A3,MB,127,$513.87 ,54942,WI,297,$102.87 ,$411 
7851,N8W0A7,ON,T3M2P8,AB,106,$512.87 ,90630,CA,378,$102.87 ,$410 
10314,N8W0A7,ON,T8L2P3,AB,938,$513.24 ,54942,WI,303,$103.24 ,$410 
12314,N8W0A7,ON,R3G2W4,MB,175,$511.19 ,54942,WI,297,$103.19 ,$408 
7869,N8W0A7,ON,T2G1W4,AB,227,$510.34 ,90630,CA,377,$103.34 ,$407 
11118,N8W0A7,ON,T2P5P7,AB,166,$509.77 ,90630,CA,376,$103.77 ,$406 
7697,N8W0A7,ON,V2R4R7,BC,211,$507.12 ,90630,CA,850,$103.12 ,$404 
12856,N8W0A7,ON,R3H0L2,MB,208,$506.82 ,54942,WI,297,$102.82 ,$404 
9930,90630,CA,33025,FL,355,$504.67 ,N8W0A7,ON,1189,$103.67 ,$401 
12838,90630,CA,33025,FL,550,$503.72 ,N8W0A7,ON,1189,$103.72 ,$400 
11070,N8W0A7,ON,V6K3G8,BC,208,$500.77 ,90630,CA,876,$103.77 ,$397 
13119,N8W0A7,ON,R3H0L2,MB,202,$499.69 ,54942,WI,297,$103.69 ,$396 
12764,N8W0A7,ON,T2E6J7,AB,146,$498.62 ,90630,CA,373,$103.62 ,$395 
10652,N8W0A7,ON,T6X0W8,AB,124,$497.07 ,54942,WI,305,$103.07 ,$394 
10959,N8W0A7,ON,T6B3N3,AB,173,$497.07 ,54942,WI,304,$103.07 ,$394 
9652,N8W0A7,ON,S4P2E2,SK,175,$497.25 ,54942,WI,308,$103.25 ,$394 
7868,N8W0A7,ON,V3T6P3,BC,191,$491.62 ,90630,CA,871,$103.62 ,$388 
9733,N8W0A7,ON,V5A2X4,BC,765,$490.15 ,90630,CA,871,$103.15 ,$387 
7896,N8W0A7,ON,V5A2X4,BC,359,$487.85 ,90630,CA,871,$102.85 ,$385 
7918,N8W0A7,ON,V6A1E1,BC,459,$488.15 ,90630,CA,873,$103.15 ,$385 
11143,N8W0A7,ON,T6X0V1,AB,187,$488.12 ,54942,WI,305,$103.12 ,$385 
7746,N8W0A7,ON,V6C2T6,BC,144,$488.61 ,90630,CA,874,$103.61 ,$385 
11232,N8W0A7,ON,T7V1V7,AB,90,$487.54 ,90630,CA,406,$103.54 ,$384 
8287,N8W0A7,ON,V5A4T2,BC,269,$485.92 ,90630,CA,869,$102.92 ,$383 
8632,N8W0A7,ON,V5A1X8,BC,477,$484.90 ,90630,CA,871,$102.90 ,$382 
9170,N8W0A7,ON,V4N4C1,BC,118,$482.87 ,90630,CA,867,$102.87 ,$380 
7540,N8W0A7,ON,V7A4X5,BC,100,$481.99 ,90630,CA,884,$102.99 ,$379 
7909,N8W0A7,ON,V5A1S8,BC,154,$481.99 ,90630,CA,870,$102.99 ,$379 
8720,N8W0A7,ON,V5L0C7,BC,159,$482.55 ,90630,CA,872,$103.55 ,$379 
7679,N8W0A7,ON,V6X1A2,BC,312,$482.38 ,90630,CA,883,$103.38 ,$379 
7772,N8W0A7,ON,V1M3B7,BC,227,$481.69 ,90630,CA,867,$103.69 ,$378 
7940,N8W0A7,ON,S4V3A4,SK,107,$480.80 ,54942,WI,308,$102.80 ,$378 
9233,N8W0A7,ON,V3Z3S9,BC,87,$481.58 ,90630,CA,861,$103.58 ,$378 
