sZip,sState,WeekNumber,Consolidated_data,Weight,Charge,# Shipments
41048,KY,4,WI53142,7729,"$1,558.05 ",6
41048,KY,30,WI53142,5583,"$1,355.95 ",6
78501,TX,21,KY41048,27652,"$7,825.95 ",6
41048,KY,35,FL33025,15370,"$5,132.21 ",6
78501,TX,49,TX78521,6906,$802.07 ,6
53142,WI,12,TX78521,12946,"$13,444.27 ",6
41048,KY,37,NC27215,9211,"$1,790.32 ",6
41048,KY,18,IL60133,2116,$846.95 ,6
41048,KY,26,IL60133,2512,$697.57 ,6
41048,KY,8,IL60133,1944,$886.36 ,6
41048,KY,25,IN46738,3613,$782.30 ,6
41048,KY,20,IN46738,2375,$656.24 ,6
41048,KY,18,IN46738,3282,$706.48 ,6
N8W0A7,ON,23,ONM9W5S6,3010,"$2,138.69 ",6
41048,KY,39,NV89030,13199,"$11,741.27 ",6
41048,KY,41,NV89030,7071,"$3,839.22 ",6
41048,KY,43,NV89030,11157,"$5,129.68 ",6
53142,WI,52,TX78521,2876,"$1,692.15 ",6
41048,KY,44,FL33025,14454,"$5,244.36 ",6
53142,WI,42,TX78521,2476,"$1,455.81 ",6
53142,WI,33,FL33025,10439,"$5,660.81 ",6
41048,KY,16,TN37013,6861,"$1,272.02 ",6
41048,KY,4,FL33025,16171,"$5,014.41 ",6
41048,KY,34,TX76137,17459,"$4,355.94 ",6
41048,KY,40,NY13760,2329,"$2,369.71 ",6
41048,KY,10,FL33025,10709,"$4,114.05 ",6
N8W0A7,ON,21,ONL3S3J1,804,"$1,041.24 ",6
N8W0A7,ON,38,ONL3R9X4,4630,"$1,626.24 ",6
41048,KY,45,NV89030,4634,"$2,942.83 ",6
53142,WI,29,FL33025,5967,"$4,676.86 ",6
53142,WI,21,FL33025,6880,"$5,022.67 ",6
53142,WI,25,FL33025,3186,"$3,138.17 ",6
78501,TX,10,TX78521,9494,$912.26 ,6
78501,TX,47,TX78521,9995,$938.88 ,6
41048,KY,29,NV89030,6756,"$3,899.95 ",6
41048,KY,40,FL33025,15146,"$5,291.07 ",6
41048,KY,3,FL33025,17408,"$5,733.02 ",6
41048,KY,51,FL33025,18050,"$6,204.78 ",6
41048,KY,51,IN46738,1973,$667.08 ,6
78501,TX,6,TX78521,6852,$819.81 ,6
