Zone,sZip,cZip,CarrierName,Weight,charge_display,estimated_display,Savings
3,41048,63132,FEDEX,1,$14.20 ,$8.11 ,$6.09 
2,41048,41048,FEDEX,2,$16.52 ,$8.11 ,$8.41 
3,41048,60490,FEDEX,2,$17.96 ,$8.11 ,$9.85 
3,41048,60563,FEDEX,2,$14.20 ,$8.11 ,$6.09 
3,41048,60192,FEDEX,11,$136.25 ,$16.86 ,$119.39 
3,41048,29607,FEDEX,3.1,$15.65 ,$13.76 ,$1.89 
2,41048,43319,FEDEX,2,$18.57 ,$8.11 ,$10.46 
3,41048,60062,FEDEX,2,$16.92 ,$8.11 ,$8.81 
3,41048,60091,FEDEX,6,$21.13 ,$12.65 ,$8.48 
3,41048,62906,FEDEX,3,$19.62 ,$8.96 ,$10.66 
3,41048,60131,FEDEX,6,$14.20 ,$14.01 ,$0.19 
3,41048,37064,FEDEX,3,$24.90 ,$12.75 ,$12.15 
2,41048,43017,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,44601,FEDEX,4,$14.20 ,$9.25 ,$4.95 
3,41048,37129,FEDEX,1,$13.06 ,$8.11 ,$4.95 
3,41048,48310,FEDEX,4,$21.77 ,$10.27 ,$11.50 
3,41048,60440,FEDEX,2,$16.92 ,$8.11 ,$8.81 
3,41048,49341,FEDEX,0,$21.54 ,$8.11 ,$13.43 
3,41048,44256,FEDEX,0,$21.54 ,$8.11 ,$13.43 
2,41048,25555,FEDEX,4,$20.77 ,$15.90 ,$4.87 
3,41048,37203,FEDEX,4,$14.20 ,$12.39 ,$1.81 
2,41048,43123,FEDEX,3,$14.20 ,$10.81 ,$3.39 
3,41048,44256,FEDEX,0,$21.54 ,$8.11 ,$13.43 
3,41048,41048,FEDEX,1,$17.96 ,$8.11 ,$9.85 
3,41048,73459,FEDEX,0.7,$15.01 ,$8.11 ,$6.90 
2,41048,30144,FEDEX,0,$21.54 ,$8.11 ,$13.43 
3,41048,63775,FEDEX,2,$16.92 ,$8.66 ,$8.26 
3,41048,18508,FEDEX,2,$16.92 ,$9.06 ,$7.86 
3,41048,92653,FEDEX,7,$16.43 ,$15.64 ,$0.79 
2,41048,61602,FEDEX,0,$21.54 ,$8.11 ,$13.43 
3,41048,30024,FEDEX,5,$16.43 ,$15.33 ,$1.10 
2,41048,30349,FEDEX,3,$18.01 ,$8.11 ,$9.90 
3,41048,13350,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,17340,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,33166,FEDEX,5,$16.43 ,$16.19 ,$0.24 
3,41048,33173,FEDEX,4,$16.43 ,$8.34 ,$8.09 
3,41048,54022,FEDEX,7,$20.63 ,$18.82 ,$1.81 
3,41048,92675,FEDEX,2,$24.96 ,$8.11 ,$16.85 
2,41048,38018,FEDEX,1,$16.43 ,$8.11 ,$8.32 
3,41048,21702,FEDEX,1,$20.72 ,$8.11 ,$12.61 
3,41048,55057,FEDEX,2,$14.20 ,$8.63 ,$5.57 
3,41048,75074,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,53066,FEDEX,1,$19.69 ,$8.11 ,$11.58 
3,41048,12414,FEDEX,2,$28.20 ,$8.11 ,$20.09 
3,41048,54016,FEDEX,6,$17.96 ,$12.77 ,$5.19 
3,41048,29920,FEDEX,5,$16.43 ,$8.11 ,$8.32 
3,41048,27601,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,41048,FEDEX,2,$17.96 ,$8.11 ,$9.85 
3,41048,76140,FEDEX,2,$14.20 ,$8.11 ,$6.09 
2,41048,32216,FEDEX,0,$21.54 ,$8.11 ,$13.43 
3,41048,33186,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,60513,FEDEX,2,$17.39 ,$8.11 ,$9.28 
3,41048,33126,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,53202,FEDEX,2.3,$15.01 ,$8.11 ,$6.90 
3,41048,55345,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,86281,FEDEX,2,$109.25 ,$16.31 ,$92.94 
3,41048,11570,FEDEX,7,$18.40 ,$12.23 ,$6.17 
3,41048,29229,FEDEX,1,$14.20 ,$8.11 ,$6.09 
2,41048,78721,FEDEX,2,$18.04 ,$8.11 ,$9.93 
3,60061,32808,FEDEX,6,$14.20 ,$11.83 ,$2.37 
2,41048,97216,FEDEX,0,$14.60 ,$8.11 ,$6.49 
3,41048,53050,FEDEX,3,$17.96 ,$13.25 ,$4.71 
3,41048,63147,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,60133,FEDEX,7,$24.00 ,$14.45 ,$9.55 
2,41048,11237,FEDEX,4,$14.20 ,$8.11 ,$6.09 
3,41048,93215,FEDEX,2,$14.20 ,$8.11 ,$6.09 
3,41048,77984,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,46738,FEDEX,2,$17.39 ,$8.11 ,$9.28 
3,41048,45431,FEDEX,1,$16.96 ,$8.11 ,$8.85 
3,41048,41017,FEDEX,1,$14.20 ,$8.11 ,$6.09 
2,41048,80019,FEDEX,4,$17.96 ,$15.88 ,$2.08 
2,41048,70834,FEDEX,5,$18.04 ,$8.11 ,$9.93 
3,41048,41048,FEDEX,1,$17.75 ,$8.11 ,$9.64 
3,41048,93401,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,19103,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,46516,FEDEX,2,$20.15 ,$8.11 ,$12.04 
3,41048,48821,FEDEX,2,$17.39 ,$8.11 ,$9.28 
3,41048,60101,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,32809,FEDEX,2,$14.20 ,$8.11 ,$6.09 
3,41048,32819,FEDEX,1,$14.20 ,$8.11 ,$6.09 
3,41048,33009,FEDEX,2,$14.20 ,$8.11 ,$6.09 
3,41048,66115,FEDEX,2,$14.20 ,$8.11 ,$6.09 
3,41048,38017,FEDEX,5,$14.20 ,$11.90 ,$2.30 
3,41048,72949,FEDEX,6,$17.92 ,$8.73 ,$9.19 
3,41048,13905,FEDEX,2,$14.20 ,$8.11 ,$6.09 
2,41048,49548,FEDEX,3,$14.20 ,$8.11 ,$6.09 
3,41048,54758,FEDEX,43,$31.63 ,$14.39 ,$17.24 
3,41048,41048,FEDEX,2,$14.20 ,$8.11 ,$6.09 
2,41048,28647,FEDEX,1,$32.24 ,$8.11 ,$24.13 
3,41048,21281,FEDEX,6,$16.40 ,$14.50 ,$1.90 
3,41048,65051,FEDEX,4,$14.20 ,$8.11 ,$6.09 
3,41048,60173,FEDEX,2,$14.17 ,$8.11 ,$6.06 
2,41048,74302,FEDEX,6,$14.17 ,$9.97 ,$4.20 
3,41048,85383,FEDEX,3,$14.17 ,$10.54 ,$3.63 
3,41048,97520,FEDEX,1,$19.65 ,$8.11 ,$11.54 
2,41048,76131,FEDEX,1,$17.93 ,$8.11 ,$9.82 
2,41048,10708,FEDEX,2,$15.78 ,$8.11 ,$7.67 
2,41048,74703,FEDEX,2,$16.49 ,$8.11 ,$8.38 
3,41048,64131,FEDEX,5,$14.17 ,$13.07 ,$1.10 
3,41048,46060,FEDEX,4,$17.93 ,$8.43 ,$9.50 
3,41048,90003,FEDEX,1,$14.17 ,$8.11 ,$6.06 
3,41048,92308,FEDEX,3,$14.17 ,$9.31 ,$4.86 
2,41048,66115,FEDEX,2,$16.49 ,$8.11 ,$8.38 
2,41048,50703,FEDEX,3,$14.17 ,$8.11 ,$6.06 
3,89030,72745,FEDEX,3,$21.09 ,$14.22 ,$6.87 
3,41048,97471,FEDEX,2,$16.40 ,$11.65 ,$4.75 
3,41048,32216,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,75706,FEDEX,2,$14.17 ,$8.11 ,$6.06 
3,41048,30144,FEDEX,6,$16.40 ,$14.69 ,$1.71 
3,41048,36303,FEDEX,1,$14.17 ,$8.11 ,$6.06 
