sState,sZip,cState,cZip,preferred_loc,preferred_state,# Shipments
ON,N8W0A7,MB,R3H0L3,54942,WI,53
ON,N8W0A7,BC,V2X8G1,90630,CA,31
ON,N8W0A7,AB,T5S0A4,54942,WI,13
ON,N8W0A7,BC,V5A1X8,90630,CA,10
ON,N8W0A7,BC,V5A2X4,90630,CA,10
