sCity,ShipDate,Consolidated_data,Weight,Charge,# Shipments
Hebron,3/20/2024,IL61602,104.5,$472.45 ,55
Hebron,4/3/2024,MI49548,470.4,$286.56 ,48
HEBRON,11/21/2024,CA92806,440,"$1,283.92 ",44
Hebron,12/4/2024,GA30024,43,$348.73 ,43
Hebron,12/18/2024,MD20876,244,$324.40 ,40
Hebron,2/8/2024,CO80112,296.4,$355.68 ,39
KENOSHA,4/16/2024,KY41048,253.5,$221.52 ,39
Hebron,12/4/2024,GA30024,303.4,$319.68 ,37
Hebron,9/20/2024,FL32832,162.8,$300.44 ,37
HEBRON,5/13/2024,NV89118,148,$664.52 ,37
Hebron,12/4/2024,GA30024,39.6,$291.96 ,36
Hebron,12/4/2024,GA30024,290.5,$302.40 ,35
HEBRON,9/20/2024,MD20876,170,$795.94 ,34
Hebron,2/15/2024,CO80112,250.8,$300.96 ,33
Hebron,2/14/2024,CA95758,244.2,$311.19 ,33
Hebron,12/18/2024,MD20876,198,$267.63 ,33
Hebron,11/11/2024,IL60133,158.4,$267.63 ,33
Hebron,12/9/2024,GA30024,105.6,$259.52 ,32
HEBRON,9/3/2024,NC28217,372,"$1,195.98 ",31
Hebron,12/9/2024,GA30024,176.7,$251.41 ,31
Hebron,10/2/2024,NY11548,319,$235.19 ,29
Hebron,2/7/2024,CO80112,215.6,$255.36 ,28
Hebron,12/5/2024,CA95377,199.36,$259.56 ,28
McAllen,10/31/2024,TX77494,196,$231.84 ,28
HEBRON,12/19/2024,WA98273,168,$602.28 ,28
Hebron,2/8/2024,FL33186,142.8,$255.36 ,28
Hebron,2/19/2024,CO80112,190,$229.00 ,25
HEBRON,9/25/2024,PA17241,149,$240.50 ,25
Hebron,3/5/2024,NJ80547,145,$228.75 ,25
Hebron,12/4/2024,GA30024,24.5,$202.75 ,25
Hebron,3/27/2024,CA91730,232.8,$254.64 ,24
Hebron,10/18/2024,CO80112,182.4,$339.36 ,24
HEBRON,10/22/2024,LA71107,144,"$1,185.12 ",24
Hebron,9/20/2024,FL32832,103.2,$194.88 ,24
Stevens Point,12/31/2024,KY41048,84,$194.64 ,24
"SOUTH PLAINFIELD,",3/22/2024,SC29730,322,$329.59 ,23
Hebron,2/19/2024,CO80112,177.1,$210.68 ,23
HEBRON,10/22/2024,WI53154,138,$674.13 ,23
CYPRESS,12/23/2024,CO80112,354.2,$204.82 ,22
Hebron,11/27/2024,CA91911,352,$283.36 ,22
Hebron,11/4/2024,IL60173,264,$154.66 ,22
HEBRON,9/11/2024,GA30106,176,$178.64 ,22
Hebron,12/6/2024,GA30024,155.1,$238.48 ,22
Hebron,12/9/2024,GA30024,127.6,$178.42 ,22
Hebron,11/6/2024,CA93313,103.4,$179.08 ,22
Hebron,3/20/2024,IL61602,41.8,$236.06 ,22
Hebron,9/10/2024,NY14580,285.6,$177.87 ,21
Hebron,10/8/2024,RI28427,277.2,$262.29 ,21
Hebron,1/18/2024,NY11548,226.8,$191.52 ,21
Hebron,11/12/2024,VA23139,172.2,$202.02 ,21
Hebron,2/9/2024,MN55128,136.5,$191.52 ,21
ANAHEIM,11/6/2024,OH43130,460,$450.80 ,20
HEBRON,10/24/2024,KY40206,420,$304.20 ,20
Hebron,10/11/2024,TX75051,358,$287.60 ,20
Hebron,10/10/2024,CA90703,248,$425.40 ,20
Hebron,2/1/2024,FL33404,210,$182.40 ,20
KENOSHA,2/12/2024,AZ85284,194,$189.60 ,20
Hebron,3/13/2024,AL35218,182,$183.00 ,20
McAllen,2/2/2024,KY41048,160,$182.40 ,20
Hebron,10/18/2024,CO80112,154,$282.80 ,20
Hebron,2/13/2024,RI28427,128.4,$182.40 ,20
Hebron,1/12/2024,OH44113,271.7,$173.85 ,19
HUNTINGTON BEACH,9/10/2024,TX77433,246.05,$157.32 ,19
Hebron,4/3/2024,KY42141,245.1,$169.86 ,19
Hebron,4/3/2024,KY42141,243.2,$169.86 ,19
Hebron,2/7/2024,AL35124,220.4,$173.28 ,19
HEBRON,9/16/2024,CA92653,182.4,$188.10 ,19
Hebron,4/12/2024,GA30097,155.8,$173.47 ,19
Hebron,3/14/2024,VA23139,155.8,$215.84 ,19
HEBRON,9/17/2024,WA98052,150.1,$167.39 ,19
SAN JOSE,11/26/2024,KY41048,114,$154.47 ,19
Hebron,11/25/2024,IL60133,93.1,$154.09 ,19
Hebron,1/24/2024,CA92122,32.3,$173.28 ,19
Hebron,2/12/2024,AL35233,340.2,$164.16 ,18
Hebron,10/21/2024,KY42101,320.4,$189.90 ,18
CYPRESS,12/23/2024,CO80112,291.6,$167.58 ,18
Hebron,2/2/2024,CA90703,289.8,$298.08 ,18
HEBRON,10/9/2024,CA92122,234,$808.02 ,18
Hebron,1/24/2024,MN55441,216,$242.64 ,18
Hebron,2/8/2024,NJ70713,212.4,$242.64 ,18
Hebron,4/17/2024,NY11548,196.2,$164.70 ,18
Hebron,11/11/2024,CA92653,136.8,$158.40 ,18
Hebron,3/8/2024,CA90670,124.2,$170.28 ,18
Hebron,12/11/2024,CA95747,120.6,$160.02 ,18
KENOSHA,4/16/2024,KY41048,118.8,$102.24 ,18
HEBRON,9/24/2024,MD20876,90,$423.36 ,18
HEBRON,9/30/2024,DA42421,472.6,"$1,613.13 ",17
Hebron,12/16/2024,MD21811,401.2,$188.87 ,17
Hebron,2/2/2024,NJ75241,379.1,$220.83 ,17
ANAHEIM,1/4/2024,OH44646,255,$407.66 ,17
Hebron,11/11/2024,MA17421,243.1,$137.87 ,17
Hebron,2/1/2024,OH44111,151.3,$155.04 ,17
Hebron,3/27/2024,IA50703,136,$155.55 ,17
Hebron,10/30/2024,TX75093,129.2,$192.61 ,17
Hebron,3/8/2024,CA90670,119,$160.82 ,17
KENOSHA,5/7/2024,KY41048,110.5,$156.23 ,17
Hebron,3/5/2024,NJ80547,100.3,$155.55 ,17
Hebron,2/8/2024,FL33186,85,$155.04 ,17
Hebron,2/15/2024,GA30071,34,$155.04 ,17
HEBRON,12/19/2024,WA98273,448,"$1,425.60 ",16
HEBRON,9/4/2024,TX75212,352,$360.32 ,16
HEBRON,5/14/2024,AZ85024,336,$866.56 ,16
KNOXVILLE,5/9/2024,KY42101,288,$215.20 ,16
Hebron,2/21/2024,CA95661,270.4,$234.08 ,16
Hebron,2/13/2024,VA23434,238.4,$181.28 ,16
"SOUTH PLAINFIELD,",3/25/2024,SC29730,220.8,$229.28 ,16
Hebron,4/2/2024,MI49548,155.2,$146.40 ,16
Hebron,3/27/2024,CA91730,153.6,$169.76 ,16
Hebron,10/10/2024,PA19107,127.36,$276.32 ,16
Hebron,12/6/2024,GA30024,112,$173.44 ,16
Hebron,11/20/2024,TX77032,97.6,$129.76 ,16
Hebron,10/17/2024,ME49761,96,$200.16 ,16
Hebron,10/21/2024,PA17241,96,$229.76 ,16
Hebron,12/9/2024,GA30024,89.6,$129.76 ,16
Hebron,5/15/2024,MD21224,89.6,$146.88 ,16
Hebron,1/17/2024,MI49507,469.5,$177.00 ,15
FREMONT,12/13/2024,KY41048,360,$282.45 ,15
HEBRON,3/12/2024,AK99901,300,"$1,453.50 ",15
HEBRON,1/19/2024,CA92620,271.5,$397.65 ,15
Hebron,4/10/2024,IL61821,250.5,$193.50 ,15
Hebron,1/10/2024,TN37166,240,$169.95 ,15
MARCUS HOOK,10/22/2024,MO63146,240,"$1,046.55 ",15
CARROLLTON,9/26/2024,NY11779,225,$144.75 ,15
Hebron,1/19/2024,RI28427,189,$136.80 ,15
HEBRON,11/5/2024,PA17815,150,$370.50 ,15
Hebron,11/6/2024,OH44601,144,$121.80 ,15
Hebron,12/16/2024,MI48108,139.5,$121.65 ,15
HEBRON,10/4/2024,NC28217,135,$457.50 ,15
Hebron,12/2/2024,OH44111,133.5,$121.65 ,15
Hebron,3/1/2024,OH44111,132,$137.40 ,15
Hebron,5/8/2024,MI48827,123,$171.30 ,15
HEBRON,9/17/2024,WA98052,120,$132.15 ,15
Hebron,11/26/2024,VA22134,120,$144.30 ,15
Hebron,9/12/2024,OK73801,108,$150.15 ,15
HOLLAND,10/29/2024,TX78247,94.5,$234.90 ,15
Hebron,2/21/2024,MD21224,84,$137.40 ,15
Hebron,10/21/2024,FL33178,46.5,$170.85 ,15
Stevens Point,9/25/2024,IL60173,27,$121.65 ,15
Hebron,2/21/2024,TX75062,6.6,$137.40 ,15
Hebron,12/5/2024,TN37214,784,"$2,801.96 ",14
HEBRON,12/18/2024,HI96756,434,"$1,119.16 ",14
Hebron,10/4/2024,TX77477,365.4,$177.10 ,14
Hebron,4/4/2024,NJ70941,329,$137.06 ,14
Hebron,2/2/2024,NJ75241,313.6,$181.86 ,14
Hebron,11/14/2024,GA30144,224,$113.54 ,14
HEBRON,9/5/2024,MD20723,214.2,$113.82 ,14
Hebron,1/29/2024,MS39216,212.8,$127.68 ,14
Hebron,11/26/2024,CA90503,207.2,$171.64 ,14
Hebron,2/27/2024,MA17421,197.4,$128.24 ,14
Houston,3/22/2024,CA90021,182,$220.08 ,14
Hebron,2/14/2024,GA30004,166.6,$127.68 ,14
KENOSHA,10/23/2024,IL60173,162.4,$113.40 ,14
Carson,5/9/2024,KY41048,151.2,$166.32 ,14
CYPRESS,5/9/2024,KY41048,144.2,$159.18 ,14
Hebron,3/26/2024,GA30014,116.2,$159.04 ,14
KENOSHA,2/19/2024,KY41048,112,$128.24 ,14
Hebron,2/14/2024,CA95758,102.2,$132.02 ,14
Hebron,10/23/2024,IN46738,99,$53.90 ,14
KENOSHA,4/16/2024,KY41048,98,$79.52 ,14
Hebron,5/2/2024,IL60440,85.4,$131.74 ,14
Hebron,5/8/2024,VA24210,85.4,$159.88 ,14
Hebron,10/21/2024,IL60188,84,$162.82 ,14
Hebron,5/15/2024,MD21224,77,$128.52 ,14
Hebron,1/26/2024,MD20878,74.2,$127.68 ,14
Hebron,11/11/2024,IL60133,65.8,$113.54 ,14
Hebron,4/3/2024,OH45342,64.4,$181.02 ,14
Hebron,9/24/2024,FL32832,61.6,$113.54 ,14
Stevens Point,12/31/2024,KY41048,50.4,$113.54 ,14
Lancaster,9/10/2024,KY41048,49,$118.86 ,14
Hebron,9/25/2024,OH45404,31.78,$113.54 ,14
Hebron,9/3/2024,GA30144,696.8,$475.93 ,13
Hebron,3/12/2024,IN47274,516.1,$154.96 ,13
Hebron,12/10/2024,CA92653,358.8,$277.29 ,13
Hebron,9/6/2024,AZ85283,357.5,$232.70 ,13
Hebron,1/5/2024,OH44114,319.8,$119.60 ,13
Hebron,2/23/2024,GA30213,295.1,$120.38 ,13
Hebron,3/28/2024,NJ70802,273,$175.89 ,13
Hebron,9/9/2024,KY42101,230.1,$105.56 ,13
Somerset,2/23/2024,MN56031,228.8,$191.36 ,13
Hebron,11/26/2024,MI49544,218.4,$105.43 ,13
Hebron,5/2/2024,SC29730,214.5,$167.70 ,13
"SOUTH PLAINFIELD,",10/10/2024,SC29730,214.5,$145.99 ,13
Hebron,3/22/2024,CA90703,209.3,$215.93 ,13
COMPTON,3/22/2024,OH45377,208.65,$198.38 ,13
COMPTON,2/13/2024,OH45377,208,$197.60 ,13
HEBRON,10/31/2024,IA52806,208,$674.18 ,13
Hebron,4/1/2024,IL60018,204.1,$118.95 ,13
Hebron,1/9/2024,IN46184,189.8,$96.46 ,13
"SOUTH PLAINFIELD,",1/25/2024,IN46256,187.2,$186.94 ,13
"SOUTH PLAINFIELD,",10/10/2024,SC29730,183.3,$154.70 ,13
Hebron,10/28/2024,KY40165,176.8,$101.40 ,13
Hebron,1/30/2024,IL60124,166.4,$118.56 ,13
Lancaster,12/13/2024,AL36532,165.1,$110.11 ,13
Hebron,3/5/2024,GA30004,157.3,$118.95 ,13
Hebron,1/19/2024,NC27703,156,$175.24 ,13
Hebron,11/8/2024,GA30004,154.7,$105.56 ,13
Hebron,9/10/2024,AZ85284,105.3,$110.11 ,13
HEBRON,11/12/2024,KY42701,104,$145.86 ,13
Hebron,11/20/2024,FL32835,102.7,$105.43 ,13
Hebron,1/18/2024,OH44110,102.7,$118.56 ,13
KENOSHA,4/4/2024,KY41048,102.7,$118.95 ,13
Hebron,2/7/2024,CO80112,101.4,$118.56 ,13
Hebron,12/11/2024,TX75063,101.4,$105.43 ,13
Hebron,12/6/2024,GA30024,92.17,$140.92 ,13
Hebron,12/19/2024,KY40342,88.4,$49.40 ,13
KENOSHA,4/2/2024,KY41048,79.3,$118.95 ,13
Hebron,1/17/2024,FL33150,78,$118.56 ,13
Hebron,1/26/2024,MO63103,78,$114.27 ,13
Hebron,10/21/2024,NJ8854,78,$101.14 ,13
Hebron,11/19/2024,AZ85215,68.9,$105.43 ,13
KENOSHA,1/22/2024,KY41048,67.6,$118.56 ,13
Hebron,11/12/2024,IL60133,62.4,$105.43 ,13
Hebron,2/19/2024,OH45342,58.5,$168.35 ,13
Hebron,9/24/2024,FL32832,55.9,$105.43 ,13
Hebron,2/7/2024,MO64068,54.6,$118.56 ,13
Hebron,10/21/2024,FL33178,41.6,$148.07 ,13
Monterey,4/5/2024,IL60084,396,$296.28 ,12
Fremont,12/17/2024,KY41048,336,$445.80 ,12
HEBRON,9/11/2024,KO17709,333.6,"$1,148.40 ",12
Morris Plains,2/1/2024,GA30253,300,$141.00 ,12
Hebron,1/12/2024,MN55337,273.6,$125.04 ,12
Hebron,9/11/2024,MN55438,272.4,$265.08 ,12
HEBRON,12/10/2024,UT84107,250.8,$176.28 ,12
CYPRESS,9/6/2024,KY41048,248.4,$186.96 ,12
Hebron,1/24/2024,CA94085,243.6,$200.16 ,12
Hebron,10/28/2024,TX78014,228,$238.56 ,12
HEBRON,12/23/2024,BCV1X2A1,216,"$1,827.36 ",12
Hebron,10/21/2024,KY42101,214.8,$126.60 ,12
Hebron,2/19/2024,MN55344,212.4,$155.40 ,12
Hebron,3/18/2024,AZ85353,208.8,$173.64 ,12
Carlsbad,10/22/2024,KY41048,201.6,$313.80 ,12
Hebron,1/26/2024,PA15238,199.2,$186.84 ,12
HEBRON,9/10/2024,SC29730,196.8,$141.96 ,12
Hebron,5/2/2024,SC29730,196.8,$154.80 ,12
COMPTON,5/10/2024,OH45377,192,$183.96 ,12
COMPTON,10/10/2024,OH45377,190.8,$302.28 ,12
Hebron,4/1/2024,IL60018,187.2,$109.80 ,12
HEBRON,9/13/2024,TX78521,180,$137.88 ,12
Hebron,12/23/2024,MN55344,178.8,$97.32 ,12
"SOUTH PLAINFIELD,",10/10/2024,SC29730,170.4,$142.80 ,12
Hebron,2/15/2024,MS38801,160.8,$109.44 ,12
HEBRON,2/5/2024,OH44145,157.2,$109.44 ,12
ANAHEIM,10/4/2024,IL60185,156,$191.64 ,12
Hebron,2/1/2024,CA90703,154.8,$159.84 ,12
FREMONT,12/6/2024,KY41048,144,$131.28 ,12
Hebron,11/1/2024,GA30004,142.8,$125.88 ,12
Woodridge,10/15/2024,NJ72051,140.4,$156.72 ,12
Woodridge,10/15/2024,NJ72051,139.2,$156.72 ,12
Hayward,2/9/2024,CA92620,136.8,$153.24 ,12
Hebron,10/3/2024,GA30346,117.6,$97.32 ,12
KENOSHA,4/3/2024,KY41048,116.4,$109.80 ,12
Hebron,5/10/2024,CA95231,115.2,$127.92 ,12
Hebron,5/6/2024,AL36067,111.6,$137.04 ,12
Hebron,4/10/2024,NC28075,110.4,$109.56 ,12
Hebron,4/1/2024,IN46738,109.2,$97.68 ,12
HEBRON,2/21/2024,AK99518,108,"$1,134.24 ",12
Hebron,1/3/2024,OH44111,105.6,$109.56 ,12
Hebron,2/8/2024,MS39120,100.8,$142.20 ,12
Hebron,9/4/2024,VA23139,98.4,$115.80 ,12
HEBRON,9/9/2024,AZ85743,96,$98.52 ,12
Hebron,2/15/2024,CO80112,92.4,$109.44 ,12
Hebron,12/18/2024,TN37013,87.6,$97.32 ,12
Hebron,12/16/2024,IN46738,85.44,$97.32 ,12
HEBRON,11/19/2024,KY40165,84,$186.72 ,12
HEBRON,12/19/2024,WA98273,84,$282.48 ,12
Hebron,12/19/2024,KY40342,82.8,$45.60 ,12
Hebron,12/10/2024,TX75081,80.4,$97.32 ,12
Hebron,5/3/2024,AL35242,79.2,$109.56 ,12
Hebron,5/3/2024,AL35242,78,$109.56 ,12
Hebron,1/12/2024,TX75160,74.4,$135.96 ,12
Hebron,11/22/2024,OH44060,73.2,$97.32 ,12
Hebron,10/24/2024,OK73120,73.2,$150.12 ,12
Hebron,11/25/2024,VA24210,73.2,$115.44 ,12
Hebron,2/19/2024,PA18017,72,$109.92 ,12
Hebron,9/24/2024,IL60188,70.8,$97.32 ,12
Mt. Pleasant,9/4/2024,KY41048,68.4,$97.56 ,12
Hebron,2/1/2024,CA94105,64.8,$109.44 ,12
HEBRON,1/23/2024,NC28646,60,$305.16 ,12
Hebron,12/9/2024,MI49507,58.8,$97.32 ,12
Hebron,12/10/2024,IL60133,56.4,$97.32 ,12
Hebron,2/14/2024,OH45342,52.8,$154.68 ,12
Hebron,2/7/2024,MO64068,51.6,$109.44 ,12
Hebron,12/9/2024,GA30024,37.2,$97.32 ,12
Hebron,2/19/2024,MN55441,36,$109.92 ,12
Hebron,11/6/2024,IL60133,22.8,$97.44 ,12
Hebron,3/20/2024,IL61602,21.6,$103.08 ,12
HEBRON,9/25/2024,KS67226,440,$449.13 ,11
Hebron,3/12/2024,IN47274,437.8,$131.12 ,11
Hebron,11/8/2024,TX77041,313.5,$164.78 ,11
HEBRON,10/1/2024,OK90403,305.8,"$1,043.79 ",11
HEBRON,12/18/2024,CA95650,297,$859.98 ,11
HEBRON,9/26/2024,IL61356,253,$236.17 ,11
Hebron,12/12/2024,NJ71103,253,$99.66 ,11
HEBRON,10/30/2024,FL32835,242,$863.28 ,11
Hebron,3/28/2024,NJ70802,232.1,$148.83 ,11
KNOXVILLE,10/30/2024,MI48310,231,$657.58 ,11
KNOXVILLE,10/21/2024,NC27703,231,$360.25 ,11
KNOXVILLE,10/30/2024,WA99301,231,$998.47 ,11
CYPRESS,10/11/2024,KY41048,228.8,$327.69 ,11
Hebron,11/18/2024,FL33126,227.7,$164.56 ,11
HEBRON,12/2/2024,LA71118,220,$625.46 ,11
Boothwyn,9/16/2024,KY41048,218.9,$105.27 ,11
ANAHEIM,2/9/2024,SC29576,198,$295.46 ,11
Hebron,11/12/2024,CA91789,198,$152.79 ,11
HEBRON,9/6/2024,AK99703,187,$481.80 ,11
HEBRON,12/11/2024,NC28659,173.8,$105.82 ,11
Hebron,3/22/2024,IA52761,163.9,$124.96 ,11
Hebron,3/11/2024,PA18015,163.9,$108.24 ,11
Hebron,11/11/2024,MA17421,158.4,$89.21 ,11
Hebron,1/22/2024,MI48103,158.4,$100.32 ,11
Hebron,1/25/2024,FL34103,156.2,$126.72 ,11
Hebron,12/11/2024,NC28315,155.1,$110.00 ,11
Hebron,10/21/2024,CT64833,144.1,$133.21 ,11
Hebron,10/21/2024,CT66114,144.1,$134.20 ,11
Hebron,2/19/2024,CA90703,139.7,$147.18 ,11
Hebron,11/6/2024,GA30004,133.1,$89.32 ,11
Hebron,1/24/2024,MN55441,133.1,$148.28 ,11
Hebron,2/13/2024,OH45249,132,$84.92 ,11
Hebron,10/9/2024,WI53051,127.6,$93.83 ,11
Carson,1/31/2024,KY41048,117.7,$129.69 ,11
Hebron,9/13/2024,NY14052,115.5,$89.32 ,11
Hebron,2/23/2024,GA30346,106.7,$100.76 ,11
HEBRON,12/18/2024,AZ85284,105.6,$102.63 ,11
Hebron,2/29/2024,OH45865,105.6,$62.70 ,11
Morris Plains,10/30/2024,GA30253,105.6,$124.63 ,11
HEBRON,9/25/2024,CT6492,102.3,$89.21 ,11
HEBRON,12/20/2024,GA30168,102.3,$89.21 ,11
Hebron,11/12/2024,IN46738,102.3,$74.80 ,11
Hebron,3/29/2024,IN46738,101.2,$78.43 ,11
Hebron,12/17/2024,IN46738,101.2,$52.36 ,11
Hebron,3/13/2024,AL35218,99,$100.65 ,11
Port Angeles,4/10/2024,KY41048,97.9,$108.46 ,11
Hebron,5/1/2024,NY11356,96.8,$100.43 ,11
Hebron,4/1/2024,OH44111,96.8,$100.65 ,11
HEBRON,9/13/2024,KY41048,90.2,$78.98 ,11
Hebron,10/23/2024,MO63026,89.1,$79.20 ,11
Hebron,1/3/2024,VA23139,89.1,$124.74 ,11
HEBRON,4/15/2024,CA92806,88,$444.84 ,11
Hebron,4/3/2024,CA92154,88,$104.06 ,11
Hebron,2/26/2024,TN37849,86.9,$100.76 ,11
HEBRON,9/30/2024,NY10010,84.7,$105.82 ,11
Lancaster,5/10/2024,KY41048,83.6,$101.09 ,11
Hebron,12/4/2024,MA22153,80.3,$89.21 ,11
Hebron,9/26/2024,IN46738,79.2,$72.38 ,11
Hebron,12/11/2024,AR72209,74.8,$89.21 ,11
Hebron,11/25/2024,OH44145,74.8,$89.21 ,11
Hebron,12/11/2024,CA95747,72.6,$97.79 ,11
Hebron,12/4/2024,NC27407,72.6,$89.21 ,11
Hebron,5/13/2024,WI54843,69.3,$131.23 ,11
Hebron,1/24/2024,AZ85743,66,$100.32 ,11
Hebron,1/17/2024,FL33150,64.9,$100.32 ,11
Hebron,1/26/2024,MO63103,64.9,$96.69 ,11
Mount Pleasant,3/8/2024,KY41048,64.9,$92.73 ,11
Hebron,11/4/2024,CA92376,61.6,$115.28 ,11
Hebron,4/1/2024,CA92376,60.5,$100.65 ,11
Hebron,2/8/2024,FL33186,57.2,$100.32 ,11
Hebron,2/27/2024,MA14602,51.7,$100.76 ,11
Hebron,2/19/2024,OH45342,50.6,$142.45 ,11
HEBRON,7/11/2024,GA41048,44,$257.07 ,11
Hebron,12/16/2024,SC29209,41.8,$89.21 ,11
Hebron,2/7/2024,TX77338,39.6,$100.32 ,11
Hebron,1/17/2024,GA30263,37.4,$124.63 ,11
Hebron,12/9/2024,GA30024,31.9,$89.21 ,11
Hebron,9/30/2024,FL33194,0.55,$516.12 ,11
Hebron,12/20/2024,IL60133,620,$389.80 ,10
HEBRON,11/6/2024,MS38829,590,$662.50 ,10
Hebron,9/3/2024,GA30144,535,$366.10 ,10
HEBRON,11/6/2024,CA92590,450,"$1,083.50 ",10
Hebron,9/19/2024,CO81632,298,$173.20 ,10
HEBRON,2/5/2024,OH44145,290,$101.40 ,10
HEBRON,12/19/2024,WA98273,280,$930.90 ,10
Anaheim,12/13/2024,KY41048,270,$242.40 ,10
Hebron,5/15/2024,WI53227,249,$92.40 ,10
Hebron,10/1/2024,GA30144,243,$91.40 ,10
Hebron,1/26/2024,TN37921,231,$129.20 ,10
Hebron,9/20/2024,NC27409,226,$85.90 ,10
Hebron,2/2/2024,NJ75241,225,$129.90 ,10
Hebron,10/3/2024,WA98188,225,$251.90 ,10
Hebron,10/25/2024,CA94577,224,$326.70 ,10
Hebron,10/3/2024,WA98188,224,$251.90 ,10
Hebron,9/6/2024,TX78852,215,$175.70 ,10
FREMONT,3/27/2024,OH44145,213,$182.70 ,10
Hebron,3/8/2024,OH43219,213,$91.50 ,10
KNOXVILLE,10/30/2024,TN37207,210,$333.70 ,10
HEBRON,5/9/2024,IL60134,200,$223.60 ,10
Hebron,2/27/2024,MD21842,198,$129.50 ,10
Hebron,1/24/2024,TX78504,190,$121.60 ,10
MONTREAL,1/3/2024,KY41048,180,"$1,333.70 ",10
Hebron,2/5/2024,CA95377,174,$156.90 ,10
FREMONT,10/10/2024,KY41048,170,$251.90 ,10
HEBRON,10/31/2024,IA52806,170,$518.60 ,10
HEBRON,10/2/2024,IN46201,170,$84.70 ,10
HEBRON,1/22/2024,TX77067,168,$95.30 ,10
HEBRON,1/22/2024,TX77067,167,$95.30 ,10
Hebron,3/8/2024,CA91362,167,$208.10 ,10
KENOSHA,5/7/2024,KY41048,166,$91.90 ,10
Hebron,10/8/2024,CA90250,162,$243.10 ,10
Hebron,12/17/2024,CA90703,162,$154.80 ,10
ANAHEIM,1/18/2024,FL33172,160,$239.50 ,10
Hebron,9/18/2024,LA70506,158,$82.20 ,10
Hebron,9/3/2024,MN55344,154,$118.40 ,10
Hebron,10/21/2024,RI2881,154,$133.50 ,10
Hebron,9/18/2024,IN46517,152,$81.20 ,10
Hebron,5/14/2024,NC27713,149,$91.80 ,10
Hebron,9/4/2024,IL60642,147,$240.90 ,10
HUNTINGTON BEACH,1/18/2024,TX76177,144,$104.30 ,10
Hebron,11/11/2024,MA17421,141,$81.10 ,10
ANAHEIM,10/11/2024,KY40299,140,$307.40 ,10
Hebron,2/2/2024,IL60143,132,$91.20 ,10
ANAHEIM,9/12/2024,FL33405,130,$225.40 ,10
ANAHEIM,12/13/2024,OH45377,130,$210.10 ,10
HEBRON,12/4/2024,WA98072,130,$412.70 ,10
Hebron,1/12/2024,NC28607,130,$151.00 ,10
Hebron,2/19/2024,AZ85284,129,$144.90 ,10
Hebron,3/26/2024,CA92653,127,$272.00 ,10
Hebron,12/17/2024,OK73018,124,$96.20 ,10
Hebron,11/4/2024,IL60173,119,$70.30 ,10
Hebron,4/11/2024,NJ70732,119,$91.30 ,10
Hebron,2/7/2024,AL35124,117,$91.20 ,10
Hebron,4/11/2024,OH44113,117,$91.30 ,10
HEBRON,9/6/2024,MI49508,115,$81.30 ,10
ANAHEIM,10/11/2024,OH44820,110,$327.30 ,10
Hebron,11/1/2024,CA95928,107.6,$202.70 ,10
Hebron,5/13/2024,KS66214,107,$91.80 ,10
CYPRESS,2/9/2024,KY41048,104.5,$112.80 ,10
Hebron,12/12/2024,GA30346,97,$81.10 ,10
Hebron,10/30/2024,IL60440,97,$97.60 ,10
Hebron,11/12/2024,TX76134,96,$81.10 ,10
Hebron,3/5/2024,CA90501,95,$106.10 ,10
Morris Plains,10/30/2024,GA30253,95,$113.30 ,10
Hebron,9/6/2024,ND58504,92,$81.30 ,10
Hebron,12/4/2024,PA18109,92,$81.10 ,10
Hebron,3/22/2024,WA98052,91,$106.10 ,10
Hebron,3/29/2024,IN46738,90,$64.20 ,10
Hebron,1/31/2024,MO63146,89,$128.90 ,10
Hebron,10/24/2024,OH45044,89,$103.60 ,10
Hebron,1/2/2024,TX77840,88,$91.30 ,10
HEBRON,3/22/2024,NC27530,87,$113.60 ,10
Hebron,11/20/2024,MA17523,86,$81.10 ,10
HEBRON,1/19/2024,FL33186,85,$91.20 ,10
Hebron,9/4/2024,VA23139,83,$96.50 ,10
HEBRON,9/17/2024,WA98052,81,$92.00 ,10
HOLLAND,9/26/2024,TX75042,81,$84.70 ,10
Hebron,12/20/2024,VA23139,81,$96.20 ,10
Hebron,1/18/2024,OH44110,80,$91.20 ,10
Hebron,2/26/2024,TN37849,80,$91.60 ,10
Hebron,10/22/2024,NY13088,79,$135.90 ,10
McAllen,10/30/2024,TX77494,79,$123.20 ,10
McAllen,10/31/2024,TX77494,79,$94.60 ,10
Hebron,9/17/2024,IL60173,76,$81.20 ,10
Hebron,12/27/2024,PA17011,76,$81.10 ,10
Hebron,5/8/2024,TX77478,76,$91.90 ,10
Hebron,9/20/2024,CA92653,75,$88.10 ,10
KENOSHA,5/6/2024,KY41048,75,$91.90 ,10
Hebron,9/17/2024,NY10014,74,$96.30 ,10
SAN JOSE,11/27/2024,OH44092,74,$92.00 ,10
HEBRON,9/10/2024,IN46738,73,$54.10 ,10
Mt. Pleasant,4/9/2024,KY41048,71,$91.30 ,10
Hebron,10/3/2024,NY10018,69,$96.20 ,10
KENOSHA,4/16/2024,KY41048,67,$56.80 ,10
Hebron,11/20/2024,TX77032,62,$81.10 ,10
Hebron,5/9/2024,MS38655,61,$114.20 ,10
Hebron,5/8/2024,OH43035,61,$91.90 ,10
Hebron,10/16/2024,NY10017,60,$143.60 ,10
Hebron,5/9/2024,TX78577,60,$91.90 ,10
Hebron,9/5/2024,MO63127,59,$81.30 ,10
Hebron,5/3/2024,CA92154,58,$91.30 ,10
