sCity,ShipDate,Consolidated_data,Weight,Charge,# Shipments,Estimated Freight$,Savings
ANAHEIM,1/4/2024,OH44646,255,$407.66 ,17,$262 ,$145 
EARTH CITY,3/8/2024,KY41048,202.4,$246.72 ,4,$102 ,$143 
Hebron,2/8/2024,NJ70713,212.4,$242.64 ,18,$102 ,$139 
HEBRON,11/11/2024,CA92618,276,$574.48 ,4,$436 ,$138 
RIVERSIDE,4/5/2024,IN46755,160.8,$263.13 ,3,$125 ,$137 
Hebron,12/18/2024,MD20876,244,$324.40 ,40,$187 ,$136 
Hebron,12/6/2024,GA30024,155.1,$238.48 ,22,$102 ,$135 
Hebron,3/19/2024,AZ85040,212.8,$326.32 ,4,$191 ,$134 
CYPRESS,10/11/2024,KY41048,228.8,$327.69 ,11,$193 ,$133 
Hebron,4/8/2024,IL60608,209.6,$235.72 ,4,$102 ,$132 
Hebron,1/8/2024,MD21224,212.4,$261.20 ,4,$128 ,$132 
HEBRON,9/17/2024,AZ86045,161,$355.60 ,7,$225 ,$130 
McAllen,10/31/2024,TX77494,196,$231.84 ,28,$102 ,$129 
FREMONT,10/10/2024,KY41048,170,$251.90 ,10,$125 ,$126 
Hebron,1/8/2024,TX79936,151.8,$229.08 ,3,$102 ,$126 
Hebron,10/8/2024,CA95377,158.4,$273.39 ,3,$146 ,$126 
Hebron,3/21/2024,WA98032,290.5,$435.40 ,5,$309 ,$126 
Hebron,1/16/2024,PA16510,234.8,$229.24 ,4,$102 ,$126 
HEBRON,10/10/2024,PA17084,200,$234.20 ,5,$110 ,$123 
HEBRON,10/24/2024,KY40206,420,$304.20 ,20,$180 ,$123 
HEBRON,4/1/2024,IN46231,177,$228.18 ,3,$105 ,$122 
Hebron,10/18/2024,CO80112,182.4,$339.36 ,24,$218 ,$120 
KENOSHA,4/16/2024,KY41048,253.5,$221.52 ,39,$102 ,$118 
Hebron,10/29/2024,OR97402,161.2,$219.72 ,4,$102 ,$116 
Hebron,5/6/2024,TX79936,175.8,$219.78 ,3,$102 ,$116 
Hebron,12/18/2024,MD20876,198,$267.63 ,33,$152 ,$115 
Hebron,5/10/2024,NE68106,210,$267.25 ,5,$151 ,$115 
Hebron,3/14/2024,VA23139,155.8,$215.84 ,19,$102 ,$113 
Hebron,9/3/2024,GA30144,535,$366.10 ,10,$252 ,$113 
Miami,12/5/2024,KY41048,372,$279.00 ,6,$165 ,$113 
Hebron,2/12/2024,CA95206,157.8,$290.19 ,3,$177 ,$112 
KNOXVILLE,5/9/2024,KY42101,288,$215.20 ,16,$102 ,$112 
Hebron,12/20/2024,IL60133,620,$389.80 ,10,$277 ,$111 
Hebron,3/13/2024,IN46818,212.4,$212.08 ,4,$102 ,$109 
COMPTON,10/10/2024,OH45377,190.8,$302.28 ,12,$196 ,$105 
HEBRON,11/6/2024,CA92590,184,$442.96 ,4,$339 ,$103 
Hebron,10/31/2024,CA91331,228.2,$294.70 ,5,$191 ,$103 
Hebron,1/29/2024,OH43228,234.4,$205.80 ,4,$102 ,$103 
Hebron,9/3/2024,GA30144,483.3,$329.49 ,9,$228 ,$101 
Hebron,2/21/2024,FL33186,151.8,$203.46 ,3,$102 ,$100 
Hebron,11/12/2024,VA23139,172.2,$202.02 ,21,$102 ,$99 
Hebron,10/11/2024,WA99202,272,$345.76 ,8,$245 ,$99 
Hebron,10/31/2024,NC27410,380.8,$244.00 ,8,$145 ,$98 
Hebron,10/18/2024,CO80112,154,$282.80 ,20,$184 ,$98 
Hebron,1/9/2024,GA30517,159,$195.84 ,3,$102 ,$93 
Hebron,11/7/2024,PA18517,266,$191.00 ,5,$102 ,$88 
Somerset,2/23/2024,MN56031,228.8,$191.36 ,13,$102 ,$88 
Hebron,10/21/2024,KY42101,320.4,$189.90 ,18,$102 ,$87 
KENOSHA,2/12/2024,AZ85284,194,$189.60 ,20,$102 ,$86 
Hebron,1/2/2024,NC27101,152.7,$188.49 ,3,$102 ,$85 
Hebron,1/8/2024,IL60131,175.2,$188.49 ,3,$102 ,$85 
ANAHEIM,2/9/2024,SC29576,198,$295.46 ,11,$210 ,$84 
Hebron,2/2/2024,CA90703,289.8,$298.08 ,18,$214 ,$83 
Hebron,10/8/2024,RI28427,277.2,$262.29 ,21,$179 ,$82 
Hebron,2/1/2024,FL33404,210,$182.40 ,20,$102 ,$79 
ORLANDO,11/21/2024,KY41048,168,$182.28 ,4,$102 ,$79 
McAllen,2/2/2024,KY41048,160,$182.40 ,20,$102 ,$79 
Hebron,10/10/2024,CA92335,269.85,$401.31 ,7,$323 ,$78 
Hebron,5/13/2024,CT60952,157.8,$204.45 ,3,$127 ,$77 
Hebron,2/29/2024,PA18109,157.8,$185.01 ,3,$107 ,$77 
Hebron,1/19/2024,OH43123,308.85,$204.12 ,3,$128 ,$76 
HEBRON,1/3/2024,GA30025,240,$216.30 ,6,$139 ,$76 
Hebron,10/11/2024,WA99202,203.4,$259.32 ,6,$183 ,$75 
HEBRON,9/11/2024,GA30106,176,$178.64 ,22,$102 ,$75 
Hebron,3/21/2024,WA98032,174.6,$261.24 ,3,$185 ,$75 
Hebron,4/12/2024,PA18109,159.9,$184.47 ,3,$109 ,$75 
KENOSHA,5/7/2024,KY41048,167.1,$178.05 ,3,$102 ,$75 
Hebron,3/19/2024,MI49127,159.3,$177.09 ,3,$102 ,$74 
Hebron,12/5/2024,CA95377,199.36,$259.56 ,28,$184 ,$74 
HEBRON,1/23/2024,MO63146,186,$176.55 ,3,$102 ,$73 
Hebron,1/2/2024,NC28105,159.3,$196.20 ,3,$123 ,$72 
Hebron,1/2/2024,NC28105,158.4,$196.14 ,3,$123 ,$72 
Hebron,3/21/2024,IN46240,152.37,$173.61 ,3,$102 ,$70 
Hebron,10/8/2024,CA92154,211.6,$364.52 ,4,$293 ,$70 
HEBRON,11/20/2024,AL36081,165,$191.82 ,3,$121 ,$70 
HEBRON,1/26/2024,MO64012,204,$172.80 ,6,$102 ,$70 
Hebron,4/12/2024,GA30097,155.8,$173.47 ,19,$102 ,$70 
Hebron,11/1/2024,IL60642,169.8,$171.90 ,3,$102 ,$69 
HEBRON,3/12/2024,AK99901,300,"$1,453.50 ",15,"$1,384 ",$69 
Hebron,1/31/2024,TN37013,159.9,$171.63 ,3,$102 ,$68 
Hebron,4/3/2024,KY42141,245.1,$169.86 ,19,$102 ,$67 
Hebron,1/10/2024,TN37166,240,$169.95 ,15,$102 ,$67 
Hebron,4/3/2024,KY42141,243.2,$169.86 ,19,$102 ,$67 
Hebron,1/17/2024,MI49507,469.5,$177.00 ,15,$110 ,$66 
Hebron,4/3/2024,MI49548,470.4,$286.56 ,48,$219 ,$66 
Hebron,11/19/2024,FL33182,310,$222.40 ,5,$155 ,$66 
Hebron,1/18/2024,NY11548,226.8,$191.52 ,21,$125 ,$66 
HEBRON,12/13/2024,CA92121,207,$452.34 ,3,$387 ,$65 
Hebron,3/22/2024,CA90703,209.3,$215.93 ,13,$154 ,$61 
Hebron,10/11/2024,WA99202,170.5,$216.10 ,5,$154 ,$61 
Hebron,10/28/2024,CA94901,215.2,$306.80 ,8,$245 ,$61 
Hebron,3/13/2024,AL35218,182,$183.00 ,20,$123 ,$59 
Hebron,10/2/2024,NY11548,319,$235.19 ,29,$176 ,$59 
Hebron,1/10/2024,TX78852,192.6,$173.88 ,9,$116 ,$57 
Hebron,2/26/2024,TN37854,159.3,$185.58 ,3,$128 ,$57 
Anaheim,12/13/2024,KY41048,270,$242.40 ,10,$185 ,$56 
Hebron,1/19/2024,NC27703,156,$175.24 ,13,$119 ,$56 
Hebron,4/11/2024,MA22153,188.1,$249.75 ,3,$193 ,$56 
Hebron,9/3/2024,GA30144,267,$183.05 ,5,$126 ,$56 
Hebron,4/17/2024,NY11548,196.2,$164.70 ,18,$108 ,$56 
HEBRON,2/15/2024,MI48036,168,$158.16 ,6,$102 ,$55 
Hebron,10/16/2024,MN55121,183,$157.14 ,6,$102 ,$54 
ANAHEIM,1/18/2024,FL33172,160,$239.50 ,10,$185 ,$54 
Hebron,10/28/2024,TX78014,228,$238.56 ,12,$184 ,$54 
Hebron,11/6/2024,TX77041,210.4,$171.36 ,4,$116 ,$54 
HEBRON,1/16/2024,MD21202,186,$181.80 ,3,$127 ,$54 
Hebron,10/25/2024,TN38115,193.2,$156.72 ,6,$102 ,$53 
Hebron,5/7/2024,MI48310,159.9,$177.99 ,3,$124 ,$53 
Hebron,10/31/2024,IL60005,339.3,$197.82 ,9,$145 ,$52 
Hebron,10/11/2024,TX75074,194.6,$163.17 ,7,$110 ,$52 
Hebron,3/12/2024,IN47274,516.1,$154.96 ,13,$102 ,$52 
Hebron,2/1/2024,OH44111,151.3,$155.04 ,17,$102 ,$52 
Hebron,11/4/2024,IL60173,264,$154.66 ,22,$102 ,$51 
Hebron,1/29/2024,OH43228,176.1,$154.35 ,3,$102 ,$51 
HEBRON,12/18/2024,CA95051,160,$324.60 ,4,$273 ,$50 
Hebron,11/4/2024,NE68521,161.4,$180.78 ,6,$129 ,$50 
Hebron,11/7/2024,PA18517,213.6,$152.80 ,4,$102 ,$50 
Hebron,10/30/2024,TX77041,237.3,$181.20 ,6,$131 ,$49 
Hebron,10/14/2024,VA23834,158.1,$162.30 ,3,$112 ,$49 
HEBRON,11/19/2024,AL36037,175,$177.60 ,5,$129 ,$48 
Hebron,2/23/2024,NJ86193,176.4,$185.49 ,3,$136 ,$48 
Hebron,5/8/2024,FL33166,176.1,$206.70 ,3,$160 ,$46 
HEBRON,1/30/2024,WI53403,154,$149.17 ,7,$102 ,$46 
Hebron,9/6/2024,TX78852,215,$175.70 ,10,$129 ,$46 
Hebron,2/1/2024,CA90703,154.8,$159.84 ,12,$114 ,$45 
Hebron,10/24/2024,MI48316,177,$148.11 ,3,$102 ,$45 
HEBRON,9/16/2024,CA92653,182.4,$188.10 ,19,$144 ,$44 
HEBRON,9/26/2024,IL61356,253,$236.17 ,11,$191 ,$44 
Hebron,3/27/2024,CA91730,232.8,$254.64 ,24,$209 ,$44 
Hebron,4/2/2024,MI49548,155.2,$146.40 ,16,$102 ,$43 
Hebron,9/3/2024,GA30144,215.2,$146.44 ,4,$102 ,$43 
Hebron,3/26/2024,IL60441,159,$177.09 ,3,$133 ,$43 
Hebron,1/25/2024,TX77043,256.5,$144.99 ,9,$102 ,$42 
Hebron,3/22/2024,IL62220,192.9,$144.30 ,2,$102 ,$41 
Hebron,3/5/2024,IL61074,301.6,$142.96 ,8,$102 ,$40 
Hebron,4/10/2024,OH44017,159.3,$176.79 ,3,$137 ,$39 
Hebron,3/1/2024,TN37919,177.3,$140.85 ,9,$102 ,$38 
Morris Plains,2/1/2024,GA30253,300,$141.00 ,12,$102 ,$38 
Carson,5/9/2024,KY41048,151.2,$166.32 ,14,$127 ,$38 
Boothwyn,11/4/2024,KY41048,168,$140.07 ,7,$102 ,$37 
Hebron,9/24/2024,WI53186,238.4,$138.80 ,4,$102 ,$36 
HEBRON,9/13/2024,TX78521,180,$137.88 ,12,$102 ,$35 
Hebron,12/17/2024,CA90703,162,$154.80 ,10,$119 ,$35 
Hebron,10/28/2024,MI48187,238.8,$137.58 ,6,$102 ,$34 
Hebron,4/12/2024,CA92841,189.9,$157.05 ,9,$123 ,$33 
Hebron,5/14/2024,CA92841,180.9,$151.11 ,9,$117 ,$33 
Hebron,10/31/2024,AR72206,212.8,$216.64 ,4,$184 ,$32 
HEBRON,2/6/2024,GA30096,160,$135.76 ,8,$102 ,$32 
Hebron,3/27/2024,CA91730,153.6,$169.76 ,16,$138 ,$31 
Hebron,10/21/2024,RI2881,154,$133.50 ,10,$102 ,$30 
Hebron,5/2/2024,SC29730,214.5,$167.70 ,13,$137 ,$29 
Hebron,10/31/2024,IL60005,226.8,$131.88 ,6,$102 ,$29 
Hebron,11/27/2024,TX77041,159.3,$131.07 ,3,$102 ,$28 
Hebron,3/12/2024,IN47274,437.8,$131.12 ,11,$102 ,$28 
Hebron,5/2/2024,SC29730,196.8,$154.80 ,12,$126 ,$28 
HEBRON,5/13/2024,NC27615,190,$161.20 ,5,$133 ,$27 
Hebron,10/7/2024,IN46118,174.9,$128.28 ,3,$102 ,$25 
Hebron,9/13/2024,FL33035,160.2,$128.25 ,3,$102 ,$25 
Hebron,10/31/2024,IN46738,160.2,$128.19 ,3,$102 ,$25 
Hebron,10/31/2024,IN46738,160.8,$128.19 ,3,$102 ,$25 
Hebron,1/31/2024,AR72908,153.8,$127.38 ,2,$102 ,$24 
Hebron,11/22/2024,UT84119,155.4,$174.76 ,2,$150 ,$24 
